venue_id,venue_name,venue_latitude,venue_longitude,venue_city,venue_state,venue_timezone
5938,Al Whitehead Field at Greyhound Stadium,34.1861922,-103.334397,Portales,NM,
218,FIU Stadium,25.7525014,-80.3778912,Miami,FL,America/New_York
4779,Thomas A. Robinson National Stadium,25.055569,-77.358736,Nassau,,
11591,Lokken Stadium,,,Valley City,ND,
5220,Garrison Stadium,36.434053,-77.098431,Murfreesboro,TN,
3884,RAM Stadium,,,East Point,GA,
11589,Hinchliffe Stadium,,,Paterson,NJ,
6043,Bethpage Federal Credit Union Stadium,40.816284,-73.589546,Brookville,NY,America/New_York
11539,Charlotte & Gordon Hansen Stadium,,,Jamestown,ND,
11712,Bank of Sun Prairie Stadium,,,Sun Prairie,WI,
11724,Community National Bank and Trust Stadium,,,Corsicana,TX,
5096,Toyota Stadium,38.204444,-84.545556,Georgetown,KY,
11723,Brickyard Stadium,,,Hobart,IN,
5455,Ford Center At The Star,,,Frisco,TX,
3926,Setzler Field,34.286133,-81.622539,Newberry,SC,
5015,Turner Stadium,40.456862,-85.501228,Upland,IN,
5083,New Turner Stadium,40.456848,-85.501181,Upland,IN,
11797,Nilton Santos Stadium,,,Rio De Janeiro,,
3827,"Memorial Stadium (Stephenville, TX)",32.2191836,-98.2130634,Stephenville,TX,America/Chicago
5348,Mercedes-Benz Stadium,33.755578,-84.400881,Atlanta,GA,America/New_York
3689,Cramton Bowl,32.37949,-86.293002,Montgomery,AL,America/Chicago
538,StubHub Center,33.8322043,-118.2517547,Carson,CA,
4258,Dignity Health Sports Park,33.864,-118.261,Carson,CA,America/Los_Angeles
4205,Petco Park,32.7174202,-117.1627728,San Diego,CA,
3603,Aggie Stadium,36.0814337,-79.7700391,Greensboro,NC,America/New_York
3717,Edwin Fauver Stadium,43.157285,-77.615214,Rochester,NY,
5810,Coyer Field,42.8867166,-78.8783922,Buffalo,NY,
7065,SoFi Stadium,33.9562003,-118.353132,Inglewood,CA,
3718,Tom Benson Hall of Fame Stadium,40.7985464,-81.3749508,Canton,OH,
3927,Sherman Field,46.8591287,-88.7774734,Houghton,MI,
6269,Globe Life Field,32.7355816,-97.1071186,Arlington,TX,
3494,The Dome at America's Center,38.6264256,-90.1995853,Saint Louis,MO,
6177,Alexander Durley Sports Complex,29.7589382,-95.3676974,Houston,TX,
5831,Dale Lippert Field,34.440962,-87.8339064,Franklin,MA,
6127,John P. Papp Stadium,40.7980976,-81.9397733,Wooster,OH,
5863,Don Shula Stadium at Wasmer Field,41.497831,-81.537346,University Heights,OH,
5907,McCarthy Stadium (Wilkes Barre),41.23369915,-75.85364178943517,Wilkes Barre Township,PA,
3709,Hempstead Stadium,42.5584284,-70.8800491,Beverly,MA,
6092,Bishop Stadium,35.9423833,-77.7956949,Rocky Mount,NC,
