scope,games,unique_venues,with_venue_id,with_coordinates,outdoor_games,with_temperature,with_wind,context_ready_games,context_ready_pct,fbs_vs_fbs_games,fbs_context_ready_games,fbs_context_ready_pct
overall,11757,317,11757,11754,11362,11532,11532,11137,0.9472654588755635,8605,8220,0.9552585705984893
2014,721,146,721,720,697,713,713,689,0.955617198335645,721,689,0.955617198335645
2015,724,144,724,724,701,717,717,694,0.9585635359116023,724,694,0.9585635359116023
2016,719,147,719,719,697,713,713,691,0.96105702364395,719,691,0.96105702364395
2017,745,144,745,745,719,738,738,712,0.9557046979865772,736,703,0.9551630434782609
2018,812,147,812,812,791,799,799,778,0.958128078817734,733,701,0.956343792633015
2019,841,144,841,841,818,829,829,806,0.9583828775267539,734,702,0.9564032697547684
2020,541,134,541,541,522,533,533,514,0.9500924214417745,508,482,0.9488188976377953
2021,849,148,849,849,825,816,816,792,0.9328621908127208,732,682,0.9316939890710383
2022,1413,279,1413,1412,1357,1390,1390,1334,0.9440905874026894,734,707,0.9632152588555858
2023,1345,281,1345,1344,1299,1323,1323,1277,0.9494423791821561,750,722,0.9626666666666667
2024,1503,285,1503,1503,1447,1460,1460,1404,0.9341317365269461,752,718,0.9547872340425532
2025,1544,282,1544,1544,1489,1501,1501,1446,0.9365284974093264,762,729,0.9566929133858267
