weather_grouping,weather_bin,latitude_band,games,unique_venues,avg_latitude,avg_weather_value,avg_closing_total,avg_actual_total,avg_market_residual,residual_ci_low,residual_ci_high,under_rate,weather_bin_games,weather_bin_avg_residual,weather_bin_under_rate,residual_vs_same_weather_bin,under_rate_vs_same_weather_bin
temperature,35-50,30-35N,96,32,33.0097374375,45.23125000000001,55.489583333333336,51.447916666666664,-4.041666666666667,-7.506874853453974,-0.5764584798793599,0.6145833333333334,1191,0.6036943744752309,0.5012594458438288,-4.645361041141898,0.11332388748950462
temperature,35-50,35-40N,416,49,37.69504413533654,44.07740384615384,55.18028846153846,56.19230769230769,1.0120192307692308,-0.5915790724716237,2.6156175340100853,0.4855769230769231,1191,0.6036943744752309,0.5012594458438288,0.40832485629399995,-0.015682522766905682
temperature,35-50,40N+,679,47,42.09248716362298,43.48718703976436,53.14727540500736,54.15758468335788,1.0103092783505154,-0.19988219304462107,2.2205007497456517,0.4948453608247423,1191,0.6036943744752309,0.5012594458438288,0.40661490387528454,-0.0064140850190864684
temperature,50-70,30-35N,811,46,32.8031675352651,62.25166461159063,56.0098643649815,56.67940813810111,0.6695437731196054,-0.5021527133948298,1.8412402596340407,0.5030826140567201,3301,0.19948500454407755,0.5101484398667071,0.47005876857552786,-0.0070658258099870475
temperature,50-70,35-40N,1271,51,37.397831931235245,60.90999213217939,55.58851298190401,55.680566483084185,0.0920535011801731,-0.7859443084668697,0.9700513108272159,0.5043273013375295,3301,0.19948500454407755,0.5101484398667071,-0.10743150336390446,-0.00582113852917765
temperature,50-70,40N+,1104,49,42.171646055253625,60.129619565217396,53.28759057971015,53.21739130434783,-0.07019927536231885,-1.0135225315221668,0.8731239807975292,0.519927536231884,3301,0.19948500454407755,0.5101484398667071,-0.26968427990639643,0.009779096365176931
temperature,50-70,<30N,115,13,28.275267771304353,63.42,55.469565217391306,56.130434782608695,0.6608695652173913,-2.487541537017578,3.8092806674523603,0.5304347826086957,3301,0.19948500454407755,0.5101484398667071,0.4613845606733137,0.020286342741988594
temperature,70-85,30-35N,930,44,32.57676578827957,77.6110752688172,56.62956989247312,56.891397849462365,0.2618279569892473,-0.7713685225392356,1.2950244365177301,0.5075268817204301,2769,0.6547490068616829,0.49801372336583605,-0.3929210498724356,0.009513158354594098
temperature,70-85,35-40N,843,56,37.20613701613286,77.02064056939501,55.748517200474495,57.126927639383155,1.3784104389086596,0.18835845341181656,2.5684624244055025,0.4887307236061684,2769,0.6547490068616829,0.49801372336583605,0.7236614320469766,-0.00928299975966762
temperature,70-85,40N+,543,47,41.8601924320442,76.38821362799264,53.4926335174954,54.28729281767956,0.7946593001841621,-0.5500760555934093,2.1393946559617336,0.49171270718232046,2769,0.6547490068616829,0.49801372336583605,0.13991029332247917,-0.006301016183515584
temperature,70-85,<30N,453,14,27.18792198366446,79.14238410596026,56.24503311258278,56.19205298013245,-0.052980132450331126,-1.5329303005741424,1.42697003567348,0.5033112582781457,2769,0.6547490068616829,0.49801372336583605,-0.7077291393120141,0.005297534912309665
temperature,85+,30-35N,355,39,32.420636424507045,90.25774647887324,56.96478873239437,57.70140845070423,0.7366197183098592,-1.0463871507743558,2.519626587394074,0.5295774647887324,705,-0.0007092198581560284,0.5134751773049645,0.7373289381680151,0.016102287483767852
temperature,85+,35-40N,162,41,36.65517007283951,89.04320987654322,56.9320987654321,56.339506172839506,-0.5925925925925926,-3.055737801546227,1.8705526163610418,0.4506172839506173,705,-0.0007092198581560284,0.5134751773049645,-0.5918833727344366,-0.06285789335434722
temperature,85+,40N+,59,29,41.451694132203386,88.68474576271187,52.52542372881356,50.94915254237288,-1.576271186440678,-5.5418144306539885,2.389272057772632,0.5932203389830508,705,-0.0007092198581560284,0.5134751773049645,-1.575561966582522,0.07974516167808632
temperature,85+,<30N,129,14,28.181022865891475,88.35348837209303,55.031007751937985,54.46511627906977,-0.5658914728682171,-3.1645173956247206,2.032734449888286,0.5116279069767442,705,-0.0007092198581560284,0.5134751773049645,-0.5651822530100611,-0.0018472703282202962
temperature,<=35,35-40N,62,24,38.57808715806451,30.37741935483871,53.274193548387096,55.11290322580645,1.8387096774193548,-2.7391743393059533,6.416593694144663,0.46774193548387094,249,0.4819277108433735,0.4859437751004016,1.3567819665759813,-0.018201839616530657
temperature,<=35,40N+,187,40,42.19309557219251,29.321925133689845,51.50267379679144,51.53475935828877,0.03208556149732621,-2.163988879105735,2.228160002100388,0.4919786096256685,249,0.4819277108433735,0.4859437751004016,-0.44984214934604727,0.0060348345252668745
wind,0-5,30-35N,820,46,32.66276423768293,2.6904878048780487,56.020731707317076,54.92926829268293,-1.0914634146341464,-2.234721424020111,0.05179459475181791,0.5365853658536586,2581,0.20825261526540095,0.4943820224719101,-1.2997160298995474,0.04220334338174847
