test_season,model,paired_games,mae,mae_delta_vs_baseline,rmse,signed_projection_bias
2016,baseline,691,13.682718051281888,0.0,17.57592934903781,-0.4896502698403141
2016,latitude_only,691,13.690348140210652,0.007630088928765809,17.596428004322206,-0.47592302129184766
2016,local_weather_context,691,13.558126079518926,-0.1245919717629614,17.51596664257461,-0.38879931034238796
2016,full_latitude_context,691,13.722124184463576,0.039406133181687564,17.658096365792442,-0.4571850407857768
2017,baseline,703,14.032180052129846,0.0,17.684781876844635,0.6876468997526828
2017,latitude_only,703,14.166318676214926,0.13413862408508012,17.781723106414457,0.6928340254625396
2017,local_weather_context,703,13.969676273425689,-0.06250377870415631,17.57660101708621,0.6512755753060437
2017,full_latitude_context,703,14.103895446715233,0.07171539458538774,17.74358579207945,1.3910675391442466
2018,baseline,701,13.440621073544486,0.0,17.15507002651005,-0.5006474561775972
2018,latitude_only,701,13.290563045180921,-0.15005802836356222,17.071728067546783,-0.6317931053453086
2018,local_weather_context,701,13.524265106595866,0.08364403305137996,17.203888021032462,-0.5800417780045709
2018,full_latitude_context,701,13.382619523804484,-0.05800154974000063,17.076518894622314,-0.5528474837873187
2019,baseline,702,13.142264901617406,0.0,16.529754676521197,0.2750353673922175
2019,latitude_only,702,12.97209696093232,-0.17016794068508373,16.406481554344488,0.23227662098823482
2019,local_weather_context,702,13.090866852237125,-0.051398049380279975,16.496796196527924,0.16793852685743568
2019,full_latitude_context,702,13.052472506729647,-0.08979239488775774,16.463821215345078,0.34842975356872263
2020,baseline,482,14.226432698088189,0.0,17.82879118445383,-0.976641021459449
2020,latitude_only,482,14.198575519916805,-0.027857178171386294,17.84754716642069,-0.9394808990977719
2020,local_weather_context,482,14.159359214022146,-0.0670734840660452,17.80117018986388,-0.5169424634779229
2020,full_latitude_context,482,14.017204180223455,-0.20922851786473273,17.697568108575247,-1.0094532487591878
2021,baseline,682,12.662793010532193,0.0,16.1677860942907,-1.2575471645264378
2021,latitude_only,682,12.764548153087288,0.10175514255509578,16.303174896399412,-2.206143927850272
2021,local_weather_context,682,12.591313144271046,-0.07147986626114632,16.101432845804037,-0.2249603080061127
2021,full_latitude_context,682,12.666109748122606,0.003316737590415969,16.135759775932794,-0.5764005621407665
2022,baseline,707,12.125826336233432,0.0,15.494364551916034,0.24575648028078992
2022,latitude_only,707,12.058155554958777,-0.06767078127465646,15.375062330536203,0.21751365847277102
2022,local_weather_context,707,12.191302547284266,0.06547621105083103,15.44507854488496,0.2853917060591834
2022,full_latitude_context,707,12.281358897547284,0.15553256131384802,15.575834041211357,0.07010039583640422
2023,baseline,722,13.10293791694581,0.0,16.343935973122942,-1.186200804207134
2023,latitude_only,722,13.074609885378964,-0.028328031566848124,16.321841769564745,-0.9310238697865237
2023,local_weather_context,722,13.144566593328717,0.04162867638290703,16.349258088306446,-1.1114692420664183
2023,full_latitude_context,722,12.993109007779026,-0.10982890916678488,16.2045797642562,-1.1654101777537675
2024,baseline,718,12.807967571079917,0.0,16.365556900017772,-0.6786577344157085
2024,latitude_only,718,12.843905166102154,0.03593759502223349,16.395159878873994,-0.6177640692651987
2024,local_weather_context,718,12.809221504515055,0.0012539334351372169,16.372793487165648,-0.844328814546348
2024,full_latitude_context,718,12.825564758612071,0.017597187532153915,16.37243624106617,-0.729319873671557
2025,baseline,729,12.346117754748999,0.0,15.355552779950823,0.108706820849425
2025,latitude_only,729,12.334093572103061,-0.012024182645939156,15.338023978374165,0.0967696393323455
2025,local_weather_context,729,12.353764947150811,0.007647192401810584,15.348899019819227,0.2151900265292396
2025,full_latitude_context,729,12.339873373174738,-0.00624438157426184,15.334604797885001,0.15085243444155547
