test_season,model,train_games,test_games,paired_context_games,numeric_features,categorical_features,mae,rmse,signed_projection_bias
2016,baseline,1445,719,691,136,10,13.682718051281888,17.57592934903781,-0.4896502698403141
2016,latitude_only,1445,719,691,137,10,13.690348140210652,17.596428004322206,-0.47592302129184766
2016,local_weather_context,1445,719,691,138,10,13.558126079518926,17.51596664257461,-0.38879931034238796
2016,full_latitude_context,1445,719,691,141,10,13.722124184463576,17.658096365792442,-0.4571850407857768
2017,baseline,2164,745,703,136,10,14.032180052129846,17.684781876844635,0.6876468997526828
2017,latitude_only,2164,745,703,137,10,14.166318676214926,17.781723106414457,0.6928340254625396
2017,local_weather_context,2164,745,703,138,10,13.969676273425689,17.57660101708621,0.6512755753060437
2017,full_latitude_context,2164,745,703,141,10,14.103895446715233,17.74358579207945,1.3910675391442466
2018,baseline,2909,812,701,136,10,13.440621073544486,17.15507002651005,-0.5006474561775972
2018,latitude_only,2909,812,701,137,10,13.290563045180921,17.071728067546783,-0.6317931053453086
2018,local_weather_context,2909,812,701,138,10,13.524265106595866,17.203888021032462,-0.5800417780045709
2018,full_latitude_context,2909,812,701,141,10,13.382619523804484,17.076518894622314,-0.5528474837873187
2019,baseline,3721,841,702,136,10,13.142264901617406,16.529754676521197,0.2750353673922175
2019,latitude_only,3721,841,702,137,10,12.97209696093232,16.406481554344488,0.23227662098823482
2019,local_weather_context,3721,841,702,138,10,13.090866852237125,16.496796196527924,0.16793852685743568
2019,full_latitude_context,3721,841,702,141,10,13.052472506729647,16.463821215345078,0.34842975356872263
2020,baseline,4562,541,482,136,10,14.226432698088189,17.82879118445383,-0.976641021459449
2020,latitude_only,4562,541,482,137,10,14.198575519916805,17.84754716642069,-0.9394808990977719
2020,local_weather_context,4562,541,482,138,10,14.159359214022146,17.80117018986388,-0.5169424634779229
2020,full_latitude_context,4562,541,482,141,10,14.017204180223455,17.697568108575247,-1.0094532487591878
2021,baseline,5103,849,682,136,10,12.662793010532193,16.1677860942907,-1.2575471645264378
2021,latitude_only,5103,849,682,137,10,12.764548153087288,16.303174896399412,-2.206143927850272
2021,local_weather_context,5103,849,682,138,10,12.591313144271046,16.101432845804037,-0.2249603080061127
2021,full_latitude_context,5103,849,682,141,10,12.666109748122606,16.135759775932794,-0.5764005621407665
2022,baseline,5952,1413,707,136,10,12.125826336233432,15.494364551916034,0.24575648028078992
2022,latitude_only,5952,1413,707,137,10,12.058155554958777,15.375062330536203,0.21751365847277102
2022,local_weather_context,5952,1413,707,138,10,12.191302547284266,15.44507854488496,0.2853917060591834
2022,full_latitude_context,5952,1413,707,141,10,12.281358897547284,15.575834041211357,0.07010039583640422
2023,baseline,7365,1345,722,136,10,13.10293791694581,16.343935973122942,-1.186200804207134
2023,latitude_only,7365,1345,722,137,10,13.074609885378964,16.321841769564745,-0.9310238697865237
2023,local_weather_context,7365,1345,722,138,10,13.144566593328717,16.349258088306446,-1.1114692420664183
2023,full_latitude_context,7365,1345,722,141,10,12.993109007779026,16.2045797642562,-1.1654101777537675
2024,baseline,8710,1503,718,136,10,12.807967571079917,16.365556900017772,-0.6786577344157085
2024,latitude_only,8710,1503,718,137,10,12.843905166102154,16.395159878873994,-0.6177640692651987
2024,local_weather_context,8710,1503,718,138,10,12.809221504515055,16.372793487165648,-0.844328814546348
2024,full_latitude_context,8710,1503,718,141,10,12.825564758612071,16.37243624106617,-0.729319873671557
2025,baseline,10213,1544,729,136,10,12.346117754748999,15.355552779950823,0.108706820849425
2025,latitude_only,10213,1544,729,137,10,12.334093572103061,15.338023978374165,0.0967696393323455
2025,local_weather_context,10213,1544,729,138,10,12.353764947150811,15.348899019819227,0.2151900265292396
2025,full_latitude_context,10213,1544,729,141,10,12.339873373174738,15.334604797885001,0.15085243444155547
