filter_name,category,season,graded,wins,losses,hit_rate,net_units_1u_each,roi_per_1u
hgb_under_3p5_baseline,baseline,2016,148,70,78,0.47297297297297297,-14.363636363636365,-0.09705159705159706
hgb_under_3p5_baseline,baseline,2017,171,96,75,0.5614035087719298,12.272727272727273,0.07177033492822966
hgb_under_3p5_baseline,baseline,2018,193,108,85,0.5595854922279793,13.18181818181818,0.06829957607159678
hgb_under_3p5_baseline,baseline,2019,107,58,49,0.5420560747663551,3.7272727272727266,0.03483432455395072
hgb_under_3p5_baseline,baseline,2020,86,41,45,0.47674418604651164,-7.727272727272727,-0.08985200845665961
hgb_under_3p5_baseline,baseline,2021,305,164,141,0.5377049180327869,8.090909090909092,0.026527570789865874
hgb_under_3p5_baseline,baseline,2022,137,74,63,0.5401459854014599,4.272727272727273,0.03118779031187791
hgb_under_3p5_baseline,baseline,2023,103,58,45,0.5631067961165048,7.727272727272727,0.07502206531332745
hgb_under_3p5_baseline,baseline,2024,68,37,31,0.5441176470588235,2.636363636363636,0.03877005347593582
hgb_under_5p0_baseline,baseline,2016,87,44,43,0.5057471264367817,-2.999999999999999,-0.03448275862068965
hgb_under_5p0_baseline,baseline,2017,102,56,46,0.5490196078431373,4.909090909090909,0.0481283422459893
hgb_under_5p0_baseline,baseline,2018,125,68,57,0.544,4.818181818181819,0.038545454545454556
hgb_under_5p0_baseline,baseline,2019,57,27,30,0.47368421052631576,-5.454545454545455,-0.09569377990430623
hgb_under_5p0_baseline,baseline,2020,43,19,24,0.4418604651162791,-6.7272727272727275,-0.15644820295983086
hgb_under_5p0_baseline,baseline,2021,195,115,80,0.5897435897435898,24.545454545454547,0.1258741258741259
hgb_under_5p0_baseline,baseline,2022,65,37,28,0.5692307692307692,5.636363636363635,0.0867132867132867
hgb_under_5p0_baseline,baseline,2023,42,27,15,0.6428571428571429,9.545454545454545,0.22727272727272727
hgb_under_5p0_baseline,baseline,2024,36,21,15,0.5833333333333334,4.090909090909091,0.11363636363636363
hgb_under_7p0_baseline,baseline,2016,40,20,20,0.5,-1.818181818181818,-0.04545454545454545
