filter_name,category,description
hgb_under_3p5_baseline,baseline,All HGB under candidates with at least a 3.5-point predicted edge.
hgb_under_5p0_baseline,baseline,All HGB under candidates with at least a 5.0-point predicted edge.
hgb_under_7p0_baseline,baseline,All HGB under candidates with at least a 7.0-point predicted edge.
hgb_under_3p5_total_ge_52,high_total_bucket,HGB under 3.5+ where closing total is at least 52.
hgb_under_3p5_total_ge_54,high_total_bucket,HGB under 3.5+ where closing total is at least 54.
hgb_under_3p5_total_ge_56,high_total_bucket,HGB under 3.5+ where closing total is at least 56.
hgb_under_3p5_total_ge_58,high_total_bucket,HGB under 3.5+ where closing total is at least 58.
hgb_under_3p5_total_ge_60,high_total_bucket,HGB under 3.5+ where closing total is at least 60.
hgb_under_3p5_total_ge_63,high_total_bucket,HGB under 3.5+ where closing total is at least 63.
hgb_under_3p5_total_ge_66,high_total_bucket,HGB under 3.5+ where closing total is at least 66.
hgb_under_3p5_total_ge_70,high_total_bucket,HGB under 3.5+ where closing total is at least 70.
hgb_under_3p5_total_48_52,high_total_bucket,HGB under 3.5+ with closing total 48 to 52.
hgb_under_3p5_total_52_56,high_total_bucket,HGB under 3.5+ with closing total 52 to 56.
hgb_under_3p5_total_56_60,high_total_bucket,HGB under 3.5+ with closing total 56 to 60.
hgb_under_3p5_total_60_63,high_total_bucket,HGB under 3.5+ with closing total 60 to 63.
hgb_under_3p5_total_63_66,high_total_bucket,HGB under 3.5+ with closing total 63 to 66.
hgb_under_3p5_total_66_70,high_total_bucket,HGB under 3.5+ with closing total 66 to 70.
hgb_under_3p5_total_70_plus,high_total_bucket,HGB under 3.5+ with closing total 70+.
hgb_under_3p5_outdoor_only,weather_single,HGB under 3.5+ excluding indoor games.
hgb_under_3p5_wind_ge_5,weather_single,HGB under 3.5+ with wind at least 5 mph.
hgb_under_3p5_wind_ge_10,weather_single,HGB under 3.5+ with wind at least 10 mph.
hgb_under_3p5_wind_ge_12,weather_single,HGB under 3.5+ with wind at least 12 mph.
hgb_under_3p5_wind_ge_15,weather_single,HGB under 3.5+ with wind at least 15 mph.
hgb_under_3p5_wind_ge_18,weather_single,HGB under 3.5+ with wind at least 18 mph.
