filter_name,category,description,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,target_roi_10pct_gap,recent_2022_plus_graded,recent_2022_plus_roi,season_count,positive_seasons,losing_seasons,positive_season_rate,max_drawdown_units,avg_closing_total,avg_hgb_abs_edge,avg_market_residual,line_movement_clv_proxy_note,overfit_flags,shortlist_candidate,score
hgb_under_3p5_combo_total_ge_60_humid_ge_80,weather_total_combo_grid,HGB under 3.5+ with total >= 60 and humidity >= 80%.,108,107,68,39,1,0.6355140186915887,0.11170449488206491,0.5410943693834448,0.7205402515530989,22.81818181818182,0.21325403568394224,0.11325403568394224,28,0.3636363636363635,10,9,1,0.9,-6.090909090909091,66.37962962962963,6.426270233607882,-2.6666666666666665,true current-to-close CLV not available in historical file,"thin_recent_sample,high_roi_thin_sample",True,64.83813084112148
hgb_under_3p5_combo_total_ge_56_humid_ge_80,weather_total_combo_grid,HGB under 3.5+ with total >= 56 and humidity >= 80%.,145,144,88,56,1,0.6111111111111112,0.08730158730158732,0.5295875556674611,0.6868603182732972,24.0,0.16666666666666666,0.06666666666666665,36,0.4318181818181817,10,8,2,0.8,-8.181818181818182,64.17241379310344,6.413635788539533,-2.1862068965517243,true current-to-close CLV not available in historical file,none,True,64.45575757575756
hgb_under_3p5_combo_total_ge_58_humid_ge_80,weather_total_combo_grid,HGB under 3.5+ with total >= 58 and humidity >= 80%.,125,124,76,48,1,0.6129032258064516,0.08909370199692779,0.5250067645169081,0.6940142740182793,21.090909090909097,0.17008797653958949,0.07008797653958948,33,0.4462809917355371,10,7,3,0.7,-6.909090909090908,65.352,6.435071373765743,-2.176,true current-to-close CLV not available in historical file,none,True,64.30945881098374
hgb_under_3p5_combo_total_ge_56_cold_le_55,weather_total_combo_grid,HGB under 3.5+ with total >= 56 and temp <= 55F.,197,194,112,82,3,0.5773195876288659,0.05351006381934209,0.5069665178813615,0.6446699428023369,19.818181818181817,0.1021555763823805,0.0021555763823804946,42,0.4545454545454546,10,7,3,0.7,-11.272727272727273,63.58629441624365,6.179074977808384,-0.3934010152284264,true current-to-close CLV not available in historical file,none,True,58.70464854732896
hgb_under_3p5_combo_total_ge_60_wind_ge_12,weather_total_combo_grid,HGB under 3.5+ with total >= 60 and wind >= 12 mph.,120,118,73,45,2,0.6186440677966102,0.09483454398708635,0.5285752066363015,0.7012313618920173,21.363636363636363,0.1810477657935285,0.08104776579352849,31,0.3548387096774193,10,6,4,0.6,-9.272727272727273,65.7125,6.536448175175622,-1.6791666666666667,true current-to-close CLV not available in historical file,none,True,55.99732789900094
hgb_under_3p5_high_total_cold50,weather_total_combo,"HGB under 3.5+, total 56+, temp <= 50F.",138,135,75,60,3,0.5555555555555556,0.031746031746031744,0.47134917126965303,0.6366876130946874,8.181818181818183,0.060606060606060615,-0.03939393939393939,28,0.43181818181818166,10,7,3,0.7,-10.545454545454545,63.23550724637681,6.118412842579252,0.4166666666666667,true current-to-close CLV not available in historical file,thin_recent_sample,True,51.69696969696969
hgb_under_3p5_combo_total_ge_56_cold_le_50,weather_total_combo_grid,HGB under 3.5+ with total >= 56 and temp <= 50F.,138,135,75,60,3,0.5555555555555556,0.031746031746031744,0.47134917126965303,0.6366876130946874,8.181818181818183,0.060606060606060615,-0.03939393939393939,28,0.43181818181818166,10,7,3,0.7,-10.545454545454545,63.23550724637681,6.118412842579252,0.4166666666666667,true current-to-close CLV not available in historical file,thin_recent_sample,True,51.69696969696969
hgb_under_3p5_combo_total_ge_58_wind_ge_12,weather_total_combo_grid,HGB under 3.5+ with total >= 58 and wind >= 12 mph.,142,140,84,56,2,0.6,0.07619047619047614,0.5172240406779871,0.6774345281922145,20.363636363636367,0.14545454545454548,0.04545454545454547,39,0.3216783216783216,10,6,4,0.6,-9.363636363636363,64.6056338028169,6.478188549291864,-1.0985915492957747,true current-to-close CLV not available in historical file,none,True,50.206993006993
hgb_under_3p5_total_ge_70,high_total_bucket,HGB under 3.5+ where closing total is at least 70.,143,142,82,60,1,0.5774647887323944,0.05365526492287054,0.4952287600371506,0.6556198318598115,14.545454545454545,0.10243277848911651,0.0024327784891165077,32,0.3721590909090909,10,6,4,0.6,-12.636363636363637,73.46503496503496,6.987552578355466,-2.2202797202797204,true current-to-close CLV not available in historical file,none,True,49.328732394366185
hgb_under_3p5_total_70_plus,high_total_bucket,HGB under 3.5+ with closing total 70+.,143,142,82,60,1,0.5774647887323944,0.05365526492287054,0.4952287600371506,0.6556198318598115,14.545454545454545,0.10243277848911651,0.0024327784891165077,32,0.3721590909090909,10,6,4,0.6,-12.636363636363637,73.46503496503496,6.987552578355466,-2.2202797202797204,true current-to-close CLV not available in historical file,none,True,49.328732394366185
