filter_name,category,description,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,target_roi_10pct_gap,recent_2022_plus_graded,recent_2022_plus_roi,season_count,positive_seasons,losing_seasons,positive_season_rate,max_drawdown_units,avg_closing_total,avg_hgb_abs_edge,avg_market_residual,line_movement_clv_proxy_note,overfit_flags,shortlist_candidate,score
hgb_under_3p5_provider_caesars_sportsbook_colorado,provider,HGB under 3.5+ using line provider Caesars Sportsbook (Colorado).,2,2,2,0,0,1.0,0.47619047619047616,0.34237195288961925,1.0,1.8181818181818181,0.9090909090909091,0.8090909090909091,2,0.9090909090909091,1,1,0,1.0,0.0,49.25,5.635211150200688,-5.25,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample,high_roi_thin_sample",False,178.67636363636362
hgb_under_3p5_combo_total_60_63_wind_ge_15,weather_total_combo_grid,HGB under 3.5+ with total 60-63 and wind >= 15 mph.,16,16,11,5,0,0.6875,0.16369047619047616,0.4440393186673406,0.8583556494803894,5.0,0.3125,0.2125,3,0.9090909090909091,8,4,4,0.5,-3.0,61.3125,6.195309028162057,-6.1875,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample,weak_season_stability,high_roi_thin_sample",False,111.19727272727272
hgb_under_3p5_combo_total_ge_58_thunder_flag,weather_total_combo_grid,HGB under 3.5+ with total >= 58 and thunderstorm text flag.,2,2,2,0,0,1.0,0.47619047619047616,0.34237195288961925,1.0,1.8181818181818181,0.9090909090909091,0.8090909090909091,0,,2,2,0,1.0,0.0,64.25,6.645348197552212,-10.75,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample,high_roi_thin_sample",False,105.94909090909091
hgb_under_3p5_combo_total_ge_60_thunder_flag,weather_total_combo_grid,HGB under 3.5+ with total >= 60 and thunderstorm text flag.,2,2,2,0,0,1.0,0.47619047619047616,0.34237195288961925,1.0,1.8181818181818181,0.9090909090909091,0.8090909090909091,0,,2,2,0,1.0,0.0,64.25,6.645348197552212,-10.75,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample,high_roi_thin_sample",False,105.94909090909091
hgb_under_3p5_combo_heat_ge_85_humid_ge_80,weather_combo_grid,HGB under 3.5+ with temp >= 85F and humidity >= 80%.,1,1,1,0,0,1.0,0.47619047619047616,0.20654329147389294,1.0,0.9090909090909091,0.9090909090909091,0.8090909090909091,0,,1,1,0,1.0,0.0,64.0,4.732914260895505,-17.0,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample,high_roi_thin_sample",False,105.9290909090909
hgb_under_3p5_combo_total_60_63_thunder_flag,weather_total_combo_grid,HGB under 3.5+ with total 60-63 and thunderstorm text flag.,1,1,1,0,0,1.0,0.47619047619047616,0.20654329147389294,1.0,0.9090909090909091,0.9090909090909091,0.8090909090909091,0,,1,1,0,1.0,0.0,60.0,4.425895887000104,-6.0,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample,high_roi_thin_sample",False,105.9290909090909
hgb_under_3p5_combo_total_60_63_wind_ge_12,weather_total_combo_grid,HGB under 3.5+ with total 60-63 and wind >= 12 mph.,40,39,28,11,1,0.717948717948718,0.19413919413919412,0.5622438267752261,0.8345667498605671,14.454545454545453,0.37062937062937057,0.27062937062937054,7,0.6363636363636364,10,6,4,0.6,-3.0,61.35,5.9221954471105,-6.05,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample,high_roi_thin_sample",False,97.15202797202798
hgb_under_3p5_combo_wind_ge_12_rain_flag_total_ge_56,weather_combo_grid,"HGB under 3.5+ with wind >= 12 mph, rain/thunder text or precip amount, and total >= 56.",26,26,20,6,0,0.7692307692307693,0.24542124542124544,0.5794807424804321,0.8896630031632332,12.18181818181818,0.46853146853146843,0.36853146853146845,8,0.43181818181818177,7,7,0,1.0,-3.090909090909091,62.57692307692308,6.931879536709719,-7.384615384615385,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample,high_roi_thin_sample",False,96.30041958041956
hgb_under_3p5_combo_wind_ge_12_precip_any_total_ge_56,weather_combo_grid,"HGB under 3.5+ with wind >= 12 mph, any precipitation flag, and total >= 56.",26,26,20,6,0,0.7692307692307693,0.24542124542124544,0.5794807424804321,0.8896630031632332,12.18181818181818,0.46853146853146843,0.36853146853146845,8,0.43181818181818177,7,7,0,1.0,-3.090909090909091,62.57692307692308,6.931879536709719,-7.384615384615385,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample,high_roi_thin_sample",False,96.30041958041956
hgb_under_3p5_combo_high_pass_rate_total_ge_56_cold_le_50,weather_team_style_total_grid,"HGB under 3.5+ with top 30% pass-rate proxy, total >= 56, and temp <= 50F.",35,34,20,14,1,0.5882352941176471,0.06442577030812324,0.42221304146519273,0.7363426221431113,4.181818181818182,0.1229946524064171,0.0229946524064171,5,0.909090909090909,9,6,3,0.6666666666666666,-7.545454545454545,63.67142857142857,5.793436557286796,-1.5857142857142856,true current-to-close CLV not available in historical file,"small_sample,thin_recent_sample",False,94.19764705882352
