candidate,under_edge_threshold,minimum_total,season,games,graded,wins,losses,pushes,hit_rate,roi_per_1u
edge_1.5_total_60,1.5,60.0,2023,31,30,21,9,1,0.7,0.3363636363636363
edge_1.5_total_60,1.5,60.0,2024,15,15,5,10,0,0.3333333333333333,-0.36363636363636365
edge_1.5_total_60,1.5,60.0,2025,35,35,19,16,0,0.5428571428571428,0.03636363636363638
edge_5.0_total_58,5.0,58.0,2023,22,22,15,7,0,0.6818181818181818,0.30165289256198347
edge_5.0_total_58,5.0,58.0,2024,31,31,15,16,0,0.4838709677419355,-0.07624633431085043
edge_5.0_total_58,5.0,58.0,2025,36,36,20,16,0,0.5555555555555556,0.06060606060606055
edge_7.5_total_56,7.5,56.0,2023,15,15,8,7,0,0.5333333333333333,0.018181818181818167
edge_7.5_total_56,7.5,56.0,2024,31,31,17,14,0,0.5483870967741935,0.04692082111436946
edge_7.5_total_56,7.5,56.0,2025,27,27,16,11,0,0.5925925925925926,0.1313131313131313
edge_5.0_total_60,5.0,60.0,2023,21,21,14,7,0,0.6666666666666666,0.2727272727272727
edge_5.0_total_60,5.0,60.0,2024,10,10,3,7,0,0.3,-0.42727272727272736
edge_5.0_total_60,5.0,60.0,2025,26,26,15,11,0,0.5769230769230769,0.1013986013986014
edge_7.5_total_58,7.5,58.0,2023,14,14,7,7,0,0.5,-0.04545454545454548
edge_7.5_total_58,7.5,58.0,2024,22,22,11,11,0,0.5,-0.045454545454545456
edge_7.5_total_58,7.5,58.0,2025,20,20,12,8,0,0.6,0.14545454545454542
