under_edge_threshold,minimum_total,games,graded,wins,losses,pushes,hit_rate,roi_per_1u
1.5,60.0,81,80,45,35,1,0.5625,0.07386363636363633
5.0,58.0,89,89,50,39,0,0.5617977528089888,0.07252298263534217
7.5,56.0,73,73,41,32,0,0.5616438356164384,0.07222914072229142
5.0,60.0,57,57,32,25,0,0.5614035087719298,0.07177033492822965
6.0,58.0,81,81,45,36,0,0.5555555555555556,0.06060606060606057
3.5,60.0,65,65,36,29,0,0.5538461538461539,0.05734265734265733
6.0,60.0,51,51,28,23,0,0.5490196078431373,0.04812834224598928
6.0,56.0,106,106,58,48,0,0.5471698113207547,0.04459691252144082
5.0,56.0,116,116,63,53,0,0.5431034482758621,0.036833855799373046
1.5,58.0,145,144,78,66,1,0.5416666666666666,0.034090909090909075
2.5,60.0,72,72,39,33,0,0.5416666666666666,0.034090909090909075
3.5,58.0,108,108,58,50,0,0.5370370370370371,0.025252525252525245
7.5,54.0,95,95,51,44,0,0.5368421052631579,0.024880382775119576
7.5,58.0,56,56,30,26,0,0.5357142857142857,0.02272727272727274
1.5,56.0,199,197,104,93,2,0.5279187817258884,0.007844946931241353
7.5,52.0,115,115,60,55,0,0.5217391304347826,-0.003952569169960463
5.0,54.0,161,161,84,77,0,0.5217391304347826,-0.003952569169960498
2.5,58.0,129,129,67,62,0,0.5193798449612403,-0.008456659619450337
3.5,56.0,143,143,74,69,0,0.5174825174825175,-0.012078830260648488
7.5,49.0,138,138,71,67,0,0.5144927536231884,-0.017786561264822125
6.0,54.0,140,140,72,68,0,0.5142857142857142,-0.01818181818181819
7.5,60.0,35,35,18,17,0,0.5142857142857142,-0.01818181818181819
5.0,49.0,255,255,131,124,0,0.5137254901960784,-0.019251336898395713
5.0,52.0,199,199,102,97,0,0.5125628140703518,-0.02147099132023759
6.0,52.0,168,168,86,82,0,0.5119047619047619,-0.02272727272727278
1.5,54.0,283,281,143,138,2,0.5088967971530249,-0.028469750889679714
6.0,49.0,209,209,106,103,0,0.507177033492823,-0.031752936059156175
1.5,52.0,360,358,181,177,2,0.505586592178771,-0.0347892331132555
2.5,56.0,171,171,86,85,0,0.5029239766081871,-0.039872408293460976
1.5,49.0,489,487,244,243,2,0.5010266940451745,-0.04349449318648498
3.5,54.0,206,206,103,103,0,0.5,-0.045454545454545435
5.0,0.0,345,345,171,174,0,0.4956521739130435,-0.053754940711462494
1.5,0.0,680,678,332,346,2,0.4896755162241888,-0.06516492357200322
2.5,54.0,246,246,120,126,0,0.4878048780487805,-0.0687361419068736
6.0,0.0,279,279,136,143,0,0.4874551971326165,-0.06940371456500492
3.5,49.0,350,350,170,180,0,0.4857142857142857,-0.07272727272727277
3.5,52.0,260,260,126,134,0,0.4846153846153846,-0.07482517482517483
7.5,0.0,187,187,90,97,0,0.48128342245989303,-0.08118619348565875
2.5,52.0,312,312,149,163,0,0.4775641025641026,-0.08828671328671334
3.5,0.0,478,478,228,250,0,0.4769874476987448,-0.08938759984785094
2.5,49.0,420,420,200,220,0,0.47619047619047616,-0.09090909090909093
2.5,0.0,571,571,270,301,0,0.47285464098073554,-0.09727750358223215
