placebo_id,paired_games,test_seasons,mean_mae_delta_vs_baseline,test_seasons_improved
0,6521,10,-0.024944738620314943,5
1,6521,10,-0.03588073994323481,6
2,6521,10,0.004030097208905448,5
3,6521,10,-0.007012788775057196,5
4,6521,10,0.022318350049511458,5
5,6521,10,-0.005898951294302883,6
6,6521,10,0.06754344229246147,3
7,6521,10,0.016291465454777845,5
8,6521,10,0.005323422700605409,5
9,6521,10,-0.0031341110508322926,3
10,6521,10,-0.008137556872994509,5
11,6521,10,0.013309095813303572,4
12,6521,10,0.005680892451391958,5
13,6521,10,0.011887385867846153,4
14,6521,10,-0.011184308554439328,5
15,6521,10,0.0026897224262290515,7
16,6521,10,0.00970981555657432,7
17,6521,10,-0.002415037008088435,6
18,6521,10,0.0022589495514153167,6
19,6521,10,0.009294381197502205,5
20,6521,10,0.056763544052142165,3
21,6521,10,0.026310904897454572,3
22,6521,10,-0.012428139246814508,5
23,6521,10,-0.012673053135002233,7
24,6521,10,-0.024421497031573917,6
25,6521,10,-0.00830249144585369,6
26,6521,10,0.007331370734219512,3
27,6521,10,-0.014543975062615682,7
28,6521,10,0.039725293263558066,4
29,6521,10,-0.004130643253132034,4
30,6521,10,-0.03252380959605132,7
31,6521,10,-0.006316341676639585,5
32,6521,10,-0.04592188379980414,7
33,6521,10,-0.04273269853778889,7
34,6521,10,0.017041188864700667,5
35,6521,10,-0.04201570490044927,7
36,6521,10,-0.020614918340428254,7
37,6521,10,-0.04195066327319066,8
38,6521,10,-0.01494560437154224,6
