grouping,value,period,games,baseline_mae,along_mae,along_mae_delta_vs_baseline
field_angle_bin,0-22.5_parallel,2022,204,12.38418819224094,12.430557625533195,0.04636943329225409
field_angle_bin,0-22.5_parallel,other_test_seasons,1680,13.216608349895582,13.186585046255408,-0.030023303640173145
field_angle_bin,67.5-90_cross,2022,168,10.908125765462957,11.163681932552937,0.2555561670899802
field_angle_bin,67.5-90_cross,other_test_seasons,1441,13.49727407494845,13.494357562241554,-0.002916512706892049
field_angle_bin,22.5-45,2022,173,12.966910929964671,12.869109526803056,-0.09780140316161587
field_angle_bin,22.5-45,other_test_seasons,1351,13.013025062158919,12.984553300376376,-0.02847176178254175
field_angle_bin,45-67.5,2022,155,12.3256227587216,12.442499986015282,0.11687722729368298
field_angle_bin,45-67.5,other_test_seasons,1349,13.236556058633333,13.163445881876317,-0.07311017675701648
wind_speed_bin,10-15,2022,156,12.609038739097873,12.791574161799284,0.18253542270141163
wind_speed_bin,10-15,other_test_seasons,1214,12.778732086969445,12.733665614996342,-0.04506647197310342
wind_speed_bin,0-5,2022,216,13.1404338580459,13.096806550463107,-0.043627307582794844
wind_speed_bin,0-5,other_test_seasons,1756,13.41624510133648,13.311308962928122,-0.10493613840835961
wind_speed_bin,5-10,2022,259,11.174231872385304,11.219197066213441,0.04496519382813736
wind_speed_bin,5-10,other_test_seasons,2358,13.280760537673858,13.293398307013964,0.012637769340108155
wind_speed_bin,15+,2022,69,11.785751111821568,12.117506405173362,0.3317552933517929
wind_speed_bin,15+,other_test_seasons,493,13.59400497471731,13.629392139782016,0.035387165064707016
