placebo_id,test_season,paired_games,mean_mae_delta_placebo_vs_no_along
0,2016,648,0.04328089380455827
0,2017,679,-0.11368935906736466
0,2018,656,0.07569342470483832
0,2019,668,-0.13224350455797676
0,2020,398,0.0429384607471651
0,2021,669,-0.12514201451554058
0,2022,700,0.03054616666168146
0,2023,708,0.06699482514330231
0,2024,691,-0.0017013421480880117
0,2025,704,0.007737912224126773
1,2016,648,-0.2395318837393582
1,2017,679,-0.22291578884951524
1,2018,656,0.14150515636152383
1,2019,668,0.002983645914089584
1,2020,398,0.168833067600576
1,2021,669,-0.026775199576058843
1,2022,700,0.023381754015961563
1,2023,708,0.10660951827079608
1,2024,691,-0.0759963846944342
1,2025,704,-0.011440321269669934
2,2016,648,-0.007355224600547045
2,2017,679,-0.08501768909913536
2,2018,656,0.02366092469628571
2,2019,668,-0.0013448618952095356
2,2020,398,0.07530832563097373
2,2021,669,0.018906431930018373
2,2022,700,0.005081898593813917
2,2023,708,0.05304713196441159
2,2024,691,-0.03760080604223227
2,2025,704,0.00672880176615229
3,2016,648,-0.2646779823519248
3,2017,679,-0.07274669262943062
3,2018,656,0.10607741423984977
3,2019,668,-0.01066083855773542
3,2020,398,-0.03193840908313933
3,2021,669,0.06878884319727457
3,2022,700,0.06917947766130698
3,2023,708,0.041757100256488884
3,2024,691,-0.07800491547229342
3,2025,704,0.0
4,2016,648,0.09204461127687803
4,2017,679,-0.11945605356233856
4,2018,656,-0.00218752699565735
4,2019,668,-0.09147035556409892
4,2020,398,0.17371913835642439
4,2021,669,0.04066288681775773
4,2022,700,0.0713303433549362
4,2023,708,0.10646688534396778
4,2024,691,0.009422272039890439
4,2025,704,-0.008954197580847933
5,2016,648,-0.17191011501668269
5,2017,679,-0.34650548910826556
5,2018,656,0.05813799138545277
5,2019,668,-0.10886680496808167
5,2020,398,0.0978981446504999
5,2021,669,-0.011930172406842578
5,2022,700,0.01491314760712929
5,2023,708,-0.05493584028669319
5,2024,691,-0.033580482338785016
5,2025,704,0.0073707252570668754
6,2016,648,-0.08045875122817558
6,2017,679,-0.05357380830525047
6,2018,656,-0.11208486661973473
6,2019,668,-0.031619302501148285
6,2020,398,0.02229732449161931
6,2021,669,0.09657929180245058
6,2022,700,0.07103909074431522
6,2023,708,0.04694986321763397
6,2024,691,-0.031000071672386664
6,2025,704,0.002309892139435128
7,2016,648,0.015727806702911375
7,2017,679,-0.1533344711528137
7,2018,656,0.12326762529463632
7,2019,668,-0.0557014337510313
7,2020,398,0.03583618378415001
7,2021,669,-0.05321403594074361
7,2022,700,0.036706932220400536
7,2023,708,0.017811068593782616
7,2024,691,-0.0626202714818351
7,2025,704,0.005504519262471608
8,2016,648,-0.11752252502318805
8,2017,679,-0.12931237081759964
8,2018,656,0.05158167698425229
8,2019,668,-0.03771847067528277
8,2020,398,0.04549045879858982
8,2021,669,0.014004606111787119
8,2022,700,0.000977099675869145
8,2023,708,0.018972595447214295
8,2024,691,0.0046127853380462415
8,2025,704,0.004518508454641979
9,2016,648,0.032325183060878504
9,2017,679,-0.07505772575025596
9,2018,656,-0.008750419686066359
9,2019,668,0.030477151896761426
9,2020,398,0.10182502712913179
9,2021,669,0.14125565612147492
9,2022,700,0.20081439819162175
9,2023,708,0.019688847265824306
9,2024,691,-0.03812987163910869
9,2025,704,-0.01435818202253165
10,2016,648,-0.07955631454269071
10,2017,679,-0.187108114442782
10,2018,656,0.042133280026471924
10,2019,668,-0.12086338898408061
10,2020,398,0.24443998365468395
10,2021,669,-0.060016129185484726
10,2022,700,-0.011841418495247677
10,2023,708,0.04714533964551166
10,2024,691,0.012594084907988303
10,2025,704,0.0004950312519191427
11,2016,648,0.03771652435896842
11,2017,679,-0.05144814140386501
11,2018,656,0.018289345878578684
11,2019,668,-0.07869226470041311
11,2020,398,0.21175222566991359
11,2021,669,-0.06782147410466406
11,2022,700,0.012443388004378195
11,2023,708,0.10962372911978155
11,2024,691,-0.0037528594617574685
11,2025,704,0.008235206960008817
12,2016,648,-0.05991291560325773
12,2017,679,-0.05462539928504813
12,2018,656,-0.028508502801167894
12,2019,668,-0.10216060581052629
12,2020,398,0.061265009079483755
12,2021,669,-0.18219088172476824
12,2022,700,0.032501413886205414
12,2023,708,0.011615755885463801
12,2024,691,-0.0329965263049994
12,2025,704,-0.006477439537064773
13,2016,648,0.08381927848673197
13,2017,679,-0.06868872622360404
13,2018,656,0.0998374240083921
13,2019,668,-0.006040864872983631
13,2020,398,0.03635034586718991
13,2021,669,-0.08353208241109486
13,2022,700,-0.07138795723661301
13,2023,708,0.13632520541324936
13,2024,691,-0.04888992326327468
13,2025,704,0.0022372051520342506
14,2016,648,-0.11564300305444185
14,2017,679,-0.13445826198676736
14,2018,656,0.031322963548939216
14,2019,668,-0.0852022362312093
14,2020,398,0.23381417777047397
14,2021,669,-0.008295723919666856
14,2022,700,0.07427106778743513
14,2023,708,0.07032945011600199
14,2024,691,0.027278289911492608
14,2025,704,0.0015898606438922802
15,2016,648,0.017055632433150524
15,2017,679,-0.030360231971224623
15,2018,656,0.045488235747152606
15,2019,668,0.0022145157214335364
15,2020,398,0.0693452251690678
15,2021,669,-0.054890555051448416
15,2022,700,-0.00648468736479651
15,2023,708,0.04708610195585716
15,2024,691,-0.13730967735184663
15,2025,704,0.0036088580945427685
16,2016,648,-0.05820293042662943
16,2017,679,-0.11295517952082113
16,2018,656,-0.06328897095669747
16,2019,668,-0.09068388324074778
16,2020,398,0.06064347525603378
16,2021,669,0.024020431313514976
16,2022,700,-0.008504697111864691
16,2023,708,-0.01629343672392255
16,2024,691,-0.1140014971569711
16,2025,704,0.0015599639377510417
17,2016,648,-0.056083118671067085
17,2017,679,-0.13806195913095626
17,2018,656,0.03236575036584445
17,2019,668,-0.1909632295712666
17,2020,398,0.10889338143518537
17,2021,669,0.019899144454617417
17,2022,700,-0.020558771763033872
17,2023,708,0.05316294379613663
17,2024,691,-0.05933939273149494
17,2025,704,0.00588440742191702
18,2016,648,-0.061372468632355924
18,2017,679,-0.2731874979802994
18,2018,656,0.08024265325387067
18,2019,668,0.02159505013596903
18,2020,398,0.11149695439438807
18,2021,669,-0.035450504937379654
18,2022,700,0.0030161397387699143
18,2023,708,0.03499910680647276
18,2024,691,-0.03776509605906542
18,2025,704,0.007022799044651551
19,2016,648,-0.028545907369207656
19,2017,679,-0.23046851349130235
19,2018,656,0.041463443911202456
19,2019,668,-0.09824990828983299
19,2020,398,0.23851860050910506
19,2021,669,0.0552165954821324
19,2022,700,-0.01584233782934295
19,2023,708,0.0810070377129425
19,2024,691,-0.049714147957245984
19,2025,704,-0.0002688282488989065
20,2016,648,-0.1659254521255718
20,2017,679,-0.19669603503729724
20,2018,656,0.020118506216893053
20,2019,668,-0.0760429143194613
20,2020,398,0.04994295626438579
20,2021,669,-0.06223175111467188
20,2022,700,-0.05190228000322709
20,2023,708,-0.0501696085056513
20,2024,691,0.01065610163640031
20,2025,704,-0.003649389989694728
21,2016,648,-0.12513050064333706
21,2017,679,-0.11467095729091031
21,2018,656,0.07284845680526615
21,2019,668,-0.11840242955890028
21,2020,398,0.04027680444753217
21,2021,669,-0.1485320774806027
21,2022,700,0.002606355722509137
21,2023,708,0.12511543067993833
21,2024,691,0.019702784486329006
21,2025,704,-0.00011352544808721976
22,2016,648,-0.02328603673842823
22,2017,679,-0.10675543038982314
22,2018,656,0.0353784020610362
22,2019,668,-0.09635665232849729
22,2020,398,0.07437843755601176
22,2021,669,-0.10482635918351949
22,2022,700,0.13300165547772252
22,2023,708,0.039277039424678035
22,2024,691,-0.021520668280736243
22,2025,704,0.001861637783302879
23,2016,648,0.044643429370013615
23,2017,679,-0.053469357566005085
23,2018,656,0.10298115188831772
23,2019,668,-0.01208987067185158
23,2020,398,0.03295176699409204
23,2021,669,-0.1262059593254673
23,2022,700,0.05329019549447761
23,2023,708,0.044266006644855416
23,2024,691,-0.01724091686043811
23,2025,704,0.004477594246155333
24,2016,648,-0.022977198946963564
24,2017,679,-0.13056082179857048
24,2018,656,0.06623828080776589
24,2019,668,-0.08729833438610217
24,2020,398,0.17426912619319307
24,2021,669,-0.0850212155597763
24,2022,700,0.05271445990654111
24,2023,708,0.09015461453646381
24,2024,691,0.08142605200831411
24,2025,704,0.0025954924878967517
25,2016,648,-0.034232335385857196
25,2017,679,-0.1103247587480919
25,2018,656,0.06302885432200366
25,2019,668,0.09183152938896372
25,2020,398,-0.03096317975549943
25,2021,669,-0.03411210343788649
25,2022,700,-0.03330755970270221
25,2023,708,0.025674980306690978
25,2024,691,-0.013145577794456924
25,2025,704,-0.001395886149330106
26,2016,648,-0.021890569910628613
26,2017,679,-0.12474560980335245
26,2018,656,-0.1487537078751638
26,2019,668,-0.10693853797788788
26,2020,398,0.03467330893117823
26,2021,669,-0.04390770546239738
26,2022,700,0.002382865291341513
26,2023,708,0.06295871856435412
26,2024,691,-0.007377617944634774
26,2025,704,0.0011494734108399773
27,2016,648,0.022907291245639665
27,2017,679,-0.1310728887987272
27,2018,656,0.09668791344425516
27,2019,668,-0.06733390017642973
27,2020,398,0.07455224724314996
27,2021,669,-0.08178996805785914
27,2022,700,0.03785821525269493
27,2023,708,-0.0024128835951521673
27,2024,691,-0.01698991193511261
27,2025,704,0.009457476365821612
28,2016,648,-0.038537510776834205
28,2017,679,0.05234716238576555
28,2018,656,0.08869495277147724
28,2019,668,-0.025496929781834425
28,2020,398,0.06295002550942397
28,2021,669,-0.0019213060161022437
28,2022,700,0.03832990413089429
28,2023,708,0.01359132071920065
28,2024,691,0.018810821089605745
28,2025,704,0.00441942815744235
29,2016,648,0.03115291276138044
29,2017,679,-0.20345703294779172
29,2018,656,0.02865605201872733
29,2019,668,-0.05289098971638658
29,2020,398,0.06073156204117346
29,2021,669,-0.0258894778045018
29,2022,700,0.13925349905491125
29,2023,708,0.10155742015736746
29,2024,691,-0.06019548547977845
29,2025,704,-0.0016983857220938849
30,2016,648,-0.013525480693504335
30,2017,679,-0.014379551887781653
30,2018,656,-0.02400077467187491
30,2019,668,-0.054167147791113965
30,2020,398,0.13787350021954975
30,2021,669,-0.04161253690711199
30,2022,700,0.002948323755536753
30,2023,708,0.041582590452141445
30,2024,691,0.01999625728975301
30,2025,704,0.005663318639515574
31,2016,648,0.02766398448856914
31,2017,679,-0.10235756420197066
31,2018,656,-0.0647525901314231
31,2019,668,-0.056836073170439254
31,2020,398,0.06833393385081474
31,2021,669,-0.07322053820990798
31,2022,700,0.0073467924974924105
31,2023,708,0.12870863380979286
31,2024,691,-0.0316710738270394
31,2025,704,-0.0015896995507565432
32,2016,648,-0.01339288398268956
32,2017,679,-0.19402913970199914
32,2018,656,0.037298201584590546
32,2019,668,-0.07350546087982093
32,2020,398,0.1572096017059235
32,2021,669,-0.0410629280332488
32,2022,700,0.054546319864794635
32,2023,708,0.04516791511975313
32,2024,691,-0.04480987020680715
32,2025,704,-0.0020755976009333064
33,2016,648,0.0098677006887481
33,2017,679,-0.09881324804191574
33,2018,656,0.15787272339112268
33,2019,668,-0.1445683168792324
33,2020,398,0.19350823758189345
33,2021,669,-0.1359019323937285
33,2022,700,0.0879058032865006
33,2023,708,-0.014387587390563126
33,2024,691,-0.015308811795465236
33,2025,704,0.0043204775586145805
34,2016,648,-0.01103701832850816
34,2017,679,-0.21788418963751333
34,2018,656,-0.07157294233737906
34,2019,668,-0.1261106713079183
34,2020,398,-0.015635369919788145
34,2021,669,-0.08536085981708208
34,2022,700,0.016744156483941463
34,2023,708,0.04102918925849024
34,2024,691,0.06588654723143325
34,2025,704,0.0019850110557664254
35,2016,648,-0.06206128681674943
35,2017,679,-0.18825434680092976
35,2018,656,-0.04777479196855346
35,2019,668,0.01821091618153477
35,2020,398,0.08895227877750053
35,2021,669,-0.0937805293680637
35,2022,700,-0.05051249988618709
35,2023,708,0.08408265343771118
35,2024,691,0.0042048096818882545
35,2025,704,0.006030026865119041
36,2016,648,0.14819924145234298
36,2017,679,-0.20219724583657464
36,2018,656,-0.02572354814623503
36,2019,668,-0.059180920649041055
36,2020,398,-0.11497817267709033
36,2021,669,0.016764170359622806
36,2022,700,0.026345404571524227
36,2023,708,0.1828238121759583
36,2024,691,-0.11604412627481436
36,2025,704,0.0031407095146405548
37,2016,648,-0.024061917629935474
37,2017,679,-0.09914027774697741
37,2018,656,-0.05615699305692573
37,2019,668,-0.07975674748153294
37,2020,398,0.09901826910752551
37,2021,669,-0.06723316929414141
37,2022,700,-0.027364974542362513
37,2023,708,0.043028351909062304
37,2024,691,-0.014193251663584693
37,2025,704,-0.001962138434510798
38,2016,648,-0.10888325359922954
38,2017,679,-0.20343813552774997
38,2018,656,-0.04212365968948846
38,2019,668,-0.026140449238365587
38,2020,398,-0.04700346191558562
38,2021,669,-0.04368540597843518
38,2022,700,0.09479912128298594
38,2023,708,0.06211696763574795
38,2024,691,0.012501191990595862
38,2025,704,0.008566879996089566
