placebo_id,paired_games,test_seasons,mean_mae_delta_placebo_vs_no_along,mae_penalty_when_placebo_along_removed,test_seasons_improved_vs_no_along
0,6521,10,-0.012479192569724714,0.012479192569724714,4
1,6521,10,-0.020118661571892734,0.020118661571892734,5
2,6521,10,0.002242100428196254,-0.002242100428196254,4
3,6521,10,-0.015495242943967938,0.015495242943967938,5
4,6521,10,0.02114055373626567,-0.02114055373626567,4
5,6521,10,-0.06084155851672083,0.06084155851672083,6
6,6521,10,-0.007131481463776,0.007131481463776,5
7,6521,10,-0.01114786206631448,0.01114786206631448,4
8,6521,10,-0.016463232364449777,0.016463232364449777,3
9,6521,10,0.03644859084289469,-0.03644859084289469,4
10,6521,10,-0.021533348935702815,0.021533348935702815,5
11,6521,10,0.011864982229735633,-0.011864982229735633,4
12,6521,10,-0.039372347251692655,0.039372347251692655,7
13,6521,10,0.006449395048168575,-0.006449395048168575,5
14,6521,10,0.0010211173475279973,-0.0010211173475279973,4
15,6521,10,-0.007806781501922849,0.007806781501922849,4
16,6521,10,-0.04162958965879408,0.04162958965879408,7
17,6521,10,-0.02965465670754983,0.02965465670754983,5
18,6521,10,-0.020211710189299455,0.020211710189299455,4
19,6521,10,-0.010707693282163573,0.010707693282163573,6
20,6521,10,-0.05635461670043799,0.05635461670043799,7
21,6521,10,-0.02601553370206319,0.02601553370206319,5
22,6521,10,-0.009494157832623133,0.009494157832623133,5
23,6521,10,0.006236480493593703,-0.006236480493593703,4
24,6521,10,0.008112120627532039,-0.008112120627532039,4
25,6521,10,-0.006862554981661549,0.006862554981661549,7
26,6521,10,-0.037038021525018346,0.037038021525018346,6
27,6521,10,-0.009360768561206063,0.009360768561206063,5
28,6521,10,0.019637364727024275,-0.019637364727024275,3
29,6521,10,-0.0001614152848165461,0.0001614152848165461,5
30,6521,10,0.000902801187631416,-0.000902801187631416,5
31,6521,10,-0.012351134419729367,0.012351134419729367,6
32,6521,10,-0.014142556800456133,0.014142556800456133,6
33,6521,10,-0.003649484901101625,0.003649484901101625,5
34,6521,10,-0.04016620092616292,0.04016620092616292,6
35,6521,10,-0.02809837799941467,0.02809837799941467,5
36,6521,10,-0.009554791647177447,0.009554791647177447,5
37,6521,10,-0.027369249580717514,0.027369249580717514,8
38,6521,10,-0.02709877204082247,0.02709877204082247,6
