test_season,paired_games,real_delta_vs_no_along,placebo_mean_delta,placebo_median_delta,placebo_05_quantile_delta,placebos_as_good_or_better_than_real,placebo_count,real_percentile_among_placebos_lower_is_better
2016,648,-0.06957224389450029,-0.03587974604376905,-0.02328603673842823,-0.17867229188895023,10,39,0.275
2017,679,-0.1835936267333986,-0.1305864334142784,-0.11945605356233856,-0.23474041194020204,12,39,0.325
2018,656,-0.16067277127089907,0.026799782327753326,0.0353784020610362,-0.07562413476561462,0,39,0.025
2019,668,-0.11728824408377471,-0.05995603823712021,-0.06733390017642973,-0.13347598579010234,6,39,0.175
2020,398,0.0833169434486893,0.08332740956581797,0.0693452251690678,-0.03344491436638396,23,39,0.6
2021,669,-0.09355021806219548,-0.03870401383660374,-0.04368540597843518,-0.13716494690241593,7,39,0.2
2022,700,-0.008659581864634147,0.028168415545700397,0.016744156483941463,-0.05065147789789109,8,39,0.225
2023,708,0.022601449005355077,0.052885353699617,0.04694986321763397,-0.01968105390209542,10,39,0.275
2024,691,-0.04378337340895048,-0.023430989236588456,-0.01724091686043811,-0.11420576006875542,11,39,0.3
2025,704,0.0011010143430807916,0.0016535288753178558,0.0022372051520342506,-0.009202809949730132,14,39,0.375
