test_season,model,train_games,test_games,paired_joint_games,numeric_features,categorical_features,mae,rmse,signed_projection_bias
2016,climate_full,1445,719,648,141,10,13.645453101628936,17.669349106779734,-0.5710315464217912
2016,joint_core_no_along,1445,719,648,142,10,13.68665232936335,17.713158538613257,-0.7798831820671516
2016,joint_core_real,1445,719,648,143,10,13.617080085468848,17.67947112030316,-0.7034937997853901
2017,climate_full,2164,745,679,141,10,14.138313769858485,17.752698286250958,1.329922241944429
2017,joint_core_no_along,2164,745,679,142,10,14.275360582712988,17.85190705047463,0.8341177541820837
2017,joint_core_real,2164,745,679,143,10,14.091766955979589,17.734104829165876,0.8601408136822725
2018,climate_full,2909,812,656,141,10,13.449531522546112,17.164132258310737,-0.5990243625593418
2018,joint_core_no_along,2909,812,656,142,10,13.420351319364608,17.180646922373242,-0.6258917523511255
2018,joint_core_real,2909,812,656,143,10,13.25967854809371,17.071804431592298,-0.47875073924931866
2019,climate_full,3721,841,668,141,10,13.081885980595773,16.52128376386554,0.5419949615746655
2019,joint_core_no_along,3721,841,668,142,10,13.180166021185139,16.540926815714638,0.2316136210640817
2019,joint_core_real,3721,841,668,143,10,13.062877777101363,16.513731456819297,-0.03624818727599522
2020,climate_full,4562,541,398,141,10,14.111340225714882,17.86316335097248,-0.6980190557534401
2020,joint_core_no_along,4562,541,398,142,10,14.17965248805337,17.899683122008707,-0.45193632455842336
2020,joint_core_real,4562,541,398,143,10,14.262969431502059,18.042841155072317,-0.2503806184332393
2021,climate_full,5103,849,669,141,10,12.654761022797995,16.074269060582562,-0.6201477566921335
2021,joint_core_no_along,5103,849,669,142,10,12.663559068662618,16.03281903229386,0.14987539017916585
2021,joint_core_real,5103,849,669,143,10,12.570008850600424,15.986385517597746,-0.8216770889832692
2022,climate_full,5952,1413,700,141,10,12.29056775561802,15.600920389152956,0.07968047714234004
2022,joint_core_no_along,5952,1413,700,142,10,12.229690594097368,15.51654002713522,0.22810232168543865
2022,joint_core_real,5952,1413,700,143,10,12.221031012232736,15.508881869967468,0.310277897016156
2023,climate_full,7365,1345,708,141,10,12.99822635992179,16.20023525623739,-1.1098834844480763
2023,joint_core_no_along,7365,1345,708,142,10,12.973876443697502,16.173036763095837,-1.1665986363074197
2023,joint_core_real,7365,1345,708,143,10,12.996477892702858,16.17818864416462,-1.048611843812975
2024,climate_full,8710,1503,691,141,10,12.849060677611435,16.385420177788877,-0.7621941090103552
2024,joint_core_no_along,8710,1503,691,142,10,12.84799078136904,16.442185035920758,-0.9730219238483951
2024,joint_core_real,8710,1503,691,143,10,12.804207407960087,16.400507966718912,-0.9590720235873481
2025,climate_full,10213,1544,704,141,10,12.388069919764725,15.389184417818157,0.1434211901102906
2025,joint_core_no_along,10213,1544,704,142,10,12.377917585658379,15.365524851558122,0.14686252863152527
2025,joint_core_real,10213,1544,704,143,10,12.379018600001457,15.367449131298107,0.14720471582385805
