captured_at_utc,snapshot_file,snapshot_sha256,evaluation_protocol_version,evaluation_protocol_sha256,challenger_config_sha256,challenger_version,github_event_name,github_event_schedule,official_evaluation_eligible,games,fbs_games,joint_core_ready_games,status_disagreements,github_run_id,github_run_attempt,github_sha
2026-09-04T14:09:26.856721+00:00,shadow_20260904T140926Z_run33881837788_a1_f629699c71c9.csv,f629699c71c94242f1c9283904cbd05f86a741b3cfb5e6dc90c0413dd749d46a,joint-core-eval-2026.1,098b834330fbd5c8ec066917ac1a9ef23a59e698156e98b9bd67a733f93bf03e,8e34f383605caffc7734fe46c4ae309324759e61300e5a2c72637d989a17dc71,joint-core-weather-context-hgb-v0.1,push,,False,268,39,37,1,33881837788,1,f2397aa1b430e76ab08f1a0efb2c463c2071a335
2026-09-04T14:25:51.353710+00:00,shadow_20260904T142551Z_run33883367733_a1_e9c4024852aa.csv,e9c4024852aa56b0fa24360f2b5100d3504120e16481eac1de085278413b515b,joint-core-eval-2026.1,098b834330fbd5c8ec066917ac1a9ef23a59e698156e98b9bd67a733f93bf03e,8e34f383605caffc7734fe46c4ae309324759e61300e5a2c72637d989a17dc71,joint-core-weather-context-hgb-v0.1,schedule,"17 10 * * 4,5",True,268,39,37,1,33883367733,1,3f6a76308d004a311c145e06d71b9576b19e894d
2026-09-04T16:56:23.389592+00:00,shadow_20260904T165623Z_run33897600789_a1_a603c9626bee.csv,a603c9626bee8624ea02c5fca270b5c5143431a2ce6a2a42b416fea48d63a208,joint-core-eval-2026.1,098b834330fbd5c8ec066917ac1a9ef23a59e698156e98b9bd67a733f93bf03e,8e34f383605caffc7734fe46c4ae309324759e61300e5a2c72637d989a17dc71,joint-core-weather-context-hgb-v0.1,schedule,"17 13 * * 4,5",True,268,39,37,1,33897600789,1,09eecafe1053e09a7ab1c65d0002e0802d56c273
2026-09-05T03:44:32.860900+00:00,shadow_20260905T034432Z_run33942543856_a1_41dfa0a92d84.csv,41dfa0a92d84777ddc1dafd4a225ebe4bd0c119918956233f7b47d6310fface6,joint-core-eval-2026.1,098b834330fbd5c8ec066917ac1a9ef23a59e698156e98b9bd67a733f93bf03e,8e34f383605caffc7734fe46c4ae309324759e61300e5a2c72637d989a17dc71,joint-core-weather-context-hgb-v0.1,push,,False,239,34,32,3,33942543856,1,cce03056f81cb4f15358257f408e28c23fe45937
2026-09-05T04:26:02.306766+00:00,shadow_20260905T042602Z_run33944389334_a1_54aad520656c.csv,54aad520656cb5500acc55c0c561538ebd6654554696ee5feba5f0294fbd554f,joint-core-eval-2026.1,098b834330fbd5c8ec066917ac1a9ef23a59e698156e98b9bd67a733f93bf03e,8e34f383605caffc7734fe46c4ae309324759e61300e5a2c72637d989a17dc71,joint-core-weather-context-hgb-v0.1,push,,False,109,34,32,3,33944389334,1,fe6617e0b940b812db91e941875224c7291be2f3
2026-09-05T10:39:12.165943+00:00,shadow_20260905T103912Z_run33961120017_a1_92cfa4ec56b4.csv,92cfa4ec56b42b14e309afb92acec72d87a013b5d7f2c935722c2d5f51fe6e6c,joint-core-eval-2026.1,098b834330fbd5c8ec066917ac1a9ef23a59e698156e98b9bd67a733f93bf03e,8e34f383605caffc7734fe46c4ae309324759e61300e5a2c72637d989a17dc71,joint-core-weather-context-hgb-v0.1,schedule,17 6 * * 6,False,109,34,32,2,33961120017,1,0e180a3a83780b48c1b378920b0a3f94ac7ce103
2026-09-07T15:55:46.614351+00:00,shadow_20260907T155546Z_run34140594792_a1_18cc6cfd34bd.csv,18cc6cfd34bd6547866ebdd4c128214412232ac4daed2993c8d70904136813af,joint-core-eval-2026.1,098b834330fbd5c8ec066917ac1a9ef23a59e698156e98b9bd67a733f93bf03e,8e34f383605caffc7734fe46c4ae309324759e61300e5a2c72637d989a17dc71,joint-core-weather-context-hgb-v0.1,schedule,17 10 * * 1,False,1,1,1,0,34140594792,1,ca5b7fcfd4ed0009204367e92168e4ff444f9998
2026-09-08T05:19:23.272634+00:00,shadow_20260908T051923Z_run34189996530_a1_a6909f77fcfc.csv,a6909f77fcfc50fa4581307357f4e2035750019f15463c2c0168e7968f01a04d,joint-core-eval-2026.1,098b834330fbd5c8ec066917ac1a9ef23a59e698156e98b9bd67a733f93bf03e,8e34f383605caffc7734fe46c4ae309324759e61300e5a2c72637d989a17dc71,joint-core-weather-context-hgb-v0.1,push,,False,131,49,45,0,34189996530,1,acc147e4b40d4f6254e5512ccfed412224cea084
2026-09-08T07:23:42.214928+00:00,shadow_20260908T072342Z_run34198813697_a1_3d9c5899769f.csv,3d9c5899769f777ab8cb3e30e541eb5d491cd655f10764a2e6fd63dd308e2247,joint-core-eval-2026.1,845fd9d771b1f7780ec20dc971953d03e82dd15d97941b73630f29615dd27b4b,8e34f383605caffc7734fe46c4ae309324759e61300e5a2c72637d989a17dc71,joint-core-weather-context-hgb-v0.1,push,,False,131,49,45,0,34198813697,1,47e8500cfc51fc96e54615e7c97f9df1ffc60d5f
2026-09-09T07:28:45.915197+00:00,shadow_20260909T072845Z_run34323765968_a1_ad4efdc39cee.csv,ad4efdc39cee42e945a7d59350532223cd7b0f9b0886a79005b52bf93f38bbfe,joint-core-eval-2026.1,845fd9d771b1f7780ec20dc971953d03e82dd15d97941b73630f29615dd27b4b,8e34f383605caffc7734fe46c4ae309324759e61300e5a2c72637d989a17dc71,joint-core-weather-context-hgb-v0.1,workflow_dispatch,,False,131,49,45,2,34323765968,1,5da22a0e36003de186025588cc56c1553078ace1
