scope,games,outdoor_games,fbs_vs_fbs_games,context_ready_games,orientation_ready_games,joint_ready_games,joint_ready_pct_of_fbs,unique_joint_ready_venues
overall,11757,11362,8605,11137,8916,7823,0.9091226031377106,137
2014,721,697,721,689,643,643,0.8918169209431346,122
2015,724,701,724,694,659,659,0.9102209944751382,123
2016,719,697,719,691,648,648,0.9012517385257302,122
2017,745,719,736,712,687,679,0.9225543478260869,126
2018,812,791,733,778,728,656,0.8949522510231923,126
2019,841,818,734,806,768,668,0.9100817438692098,127
2020,541,522,508,514,426,398,0.7834645669291339,117
2021,849,825,732,792,776,669,0.9139344262295082,127
2022,1413,1357,734,1334,896,700,0.9536784741144414,128
2023,1345,1299,750,1277,890,708,0.944,130
2024,1503,1447,752,1404,881,691,0.9188829787234043,126
2025,1544,1489,762,1446,914,704,0.9238845144356955,128
