challenger,grouping,value,games,seasons,baseline_mae,challenger_mae,mae_delta_vs_baseline,bootstrap_ci_low,bootstrap_ci_high
joint_interactions,latitude_band,<30N,566,10,13.36806728098695,13.36182453446237,-0.00624274652457933,-0.28936840697181804,0.26431055225875916
joint_interactions,latitude_band,30-35N,1723,10,13.369752911577265,13.231928363379073,-0.1378245481981917,-0.27355299056839405,0.0016854242242039397
joint_interactions,latitude_band,35-40N,2172,10,13.15502127361079,13.149486809662534,-0.005534463948259106,-0.13078913166675768,0.12482557098320389
joint_interactions,latitude_band,40N+,2060,10,12.829007299140844,12.869839711438756,0.04083241229791033,-0.08710068339659643,0.17071172060941625
joint_interactions,crosswind_bin,0-5,3893,10,13.177573352546657,13.135226074588097,-0.04234727795856131,-0.13141051358795872,0.04583546442714082
joint_interactions,crosswind_bin,5-10,1860,10,13.128801036928133,13.068546944314326,-0.060254092613806015,-0.19917903421466904,0.08047105206109238
joint_interactions,crosswind_bin,10-15,580,10,12.683579264973092,12.850504078079412,0.1669248131063219,-0.11129764651289108,0.440481449474963
joint_interactions,crosswind_bin,15-20,133,10,13.52897249153639,13.640633277794338,0.11166078625795034,-0.5159589306301817,0.7287382992784257
joint_interactions,crosswind_bin,20+,55,10,13.22144154526945,13.155116304179714,-0.06632524108973477,-1.0709478450378371,0.9114800930277581
joint_interactions,temperature_anomaly_bin,<=-10F,833,10,12.912560402486662,12.946915196312782,0.03435479382612054,-0.1710867068932708,0.23532822628982664
joint_interactions,temperature_anomaly_bin,-10-0F,2221,10,13.098480100985437,12.928899204002473,-0.16958089698296266,-0.2962770580883574,-0.037251735584375105
joint_interactions,temperature_anomaly_bin,0-10F,2401,10,12.999575847706577,13.036952474745862,0.03737662703928537,-0.081065335215592,0.15653965351330282
joint_interactions,temperature_anomaly_bin,10F+,1066,10,13.642591801402894,13.726427795755951,0.0838359943530562,-0.10070707461795451,0.2778322729786485
joint_interactions,local_wind_percentile_bin,<=25th,1808,10,13.09440849221429,13.006659411873866,-0.08774908034042511,-0.22262951236747877,0.043785161817286436
joint_interactions,local_wind_percentile_bin,25-50th,1665,10,13.223416322519423,13.245372169650746,0.021955847131322363,-0.11788436740781545,0.1603017185675888
joint_interactions,local_wind_percentile_bin,50-75th,1581,10,13.032234714550585,12.980922345300906,-0.051312369249680655,-0.2021297653216574,0.09116770763795896
joint_interactions,local_wind_percentile_bin,75th+,1467,10,13.161029158538692,13.184415341309837,0.023386182771139918,-0.14724944510371546,0.19538245505481072
joint_interactions,closing_total_bin,<48,1280,10,11.974788315141904,11.923577198404516,-0.05121111673738769,-0.20351727826315702,0.10415041909647903
joint_interactions,closing_total_bin,48-56,2477,10,12.987092323923079,12.958581782079612,-0.02851054184346759,-0.14200522709389804,0.08776645503169019
joint_interactions,closing_total_bin,56-64,1868,10,13.292305493881523,13.185839978263147,-0.10646551561837903,-0.25044961396774545,0.03744712933446597
joint_interactions,closing_total_bin,64+,896,10,14.817062720858516,15.002483755797062,0.18542103493854661,-0.03785431811140598,0.4074749239792558
