test_season,model,train_games,test_games,paired_joint_games,numeric_features,categorical_features,mae,rmse,signed_projection_bias
2016,baseline,1445,719,648,136,10,13.669806150139792,17.642337920609886,-0.5903778218609087
2016,orientation_crosswind,1445,719,648,137,10,13.46475334032123,17.499882816620435,-0.7655520514719939
2016,orientation_vector,1445,719,648,138,10,13.590669906508667,17.593691336579152,-0.6649831185050599
2016,climate_full,1445,719,648,141,10,13.645453101628936,17.669349106779734,-0.5710315464217912
2016,joint_core,1445,719,648,143,10,13.617080085468848,17.67947112030316,-0.7034937997853901
2016,joint_interactions,1445,719,648,150,10,13.689417041535686,17.650648657837515,-0.4554987993053999
2017,baseline,2164,745,679,136,10,14.060648889481904,17.670438364474393,0.6219494895079277
2017,orientation_crosswind,2164,745,679,137,10,14.08698020777799,17.738238057304546,0.7589020618070429
2017,orientation_vector,2164,745,679,138,10,14.187128248121562,17.811713531774974,0.5144863236303904
2017,climate_full,2164,745,679,141,10,14.138313769858485,17.752698286250958,1.329922241944429
2017,joint_core,2164,745,679,143,10,14.091766955979589,17.734104829165876,0.8601408136822725
2017,joint_interactions,2164,745,679,150,10,14.158372659999161,17.757376221682293,0.8713452309222736
2018,baseline,2909,812,656,136,10,13.503655289009469,17.23764473509438,-0.5067671605946752
2018,orientation_crosswind,2909,812,656,137,10,13.412090253684417,17.189991397076152,-0.7840683376302849
2018,orientation_vector,2909,812,656,138,10,13.359817245081093,17.147056159682503,-0.2122103345080058
2018,climate_full,2909,812,656,141,10,13.449531522546112,17.164132258310737,-0.5990243625593418
2018,joint_core,2909,812,656,143,10,13.25967854809371,17.071804431592298,-0.47875073924931866
2018,joint_interactions,2909,812,656,150,10,13.343604880028323,17.21967669711812,-0.6091158490903779
2019,baseline,3721,841,668,136,10,13.156280770945955,16.570457222013317,0.4814413176094835
2019,orientation_crosswind,3721,841,668,137,10,13.145011228299344,16.51992804693254,0.6836951332424067
2019,orientation_vector,3721,841,668,138,10,13.096390497334648,16.55917911804616,0.3740045598039888
2019,climate_full,3721,841,668,141,10,13.081885980595773,16.52128376386554,0.5419949615746655
2019,joint_core,3721,841,668,143,10,13.062877777101363,16.513731456819297,-0.03624818727599522
2019,joint_interactions,3721,841,668,150,10,13.063574756282643,16.43202578295678,-0.14909112208335268
2020,baseline,4562,541,398,136,10,14.36394612106886,18.021828343946787,-0.6102239988979912
2020,orientation_crosswind,4562,541,398,137,10,14.480648547643396,18.140829734052904,-0.4599776037414513
2020,orientation_vector,4562,541,398,138,10,14.35218906494175,17.974136514068697,-0.18776447113673272
2020,climate_full,4562,541,398,141,10,14.111340225714882,17.86316335097248,-0.6980190557534401
2020,joint_core,4562,541,398,143,10,14.262969431502059,18.042841155072317,-0.2503806184332393
2020,joint_interactions,4562,541,398,150,10,14.238035594320401,17.90301359388752,-0.3130480571733512
2021,baseline,5103,849,669,136,10,12.648602268956669,16.111331058748167,-1.3121644243424149
2021,orientation_crosswind,5103,849,669,137,10,12.710725569233514,16.086126202845417,-0.9896636084765843
2021,orientation_vector,5103,849,669,138,10,12.686425941664497,16.069720350488645,-1.329760370448917
2021,climate_full,5103,849,669,141,10,12.654761022797995,16.074269060582562,-0.6201477566921335
2021,joint_core,5103,849,669,143,10,12.570008850600424,15.986385517597746,-0.8216770889832692
2021,joint_interactions,5103,849,669,150,10,12.692388457766212,16.074776997357684,-0.2940457519688146
2022,baseline,5952,1413,700,136,10,12.160980911858092,15.535058300052453,0.2470844630285964
2022,orientation_crosswind,5952,1413,700,137,10,12.148899563179324,15.467008436265319,0.04517417313658021
2022,orientation_vector,5952,1413,700,138,10,12.201870811464739,15.548597577677207,0.06611443735707177
2022,climate_full,5952,1413,700,141,10,12.29056775561802,15.600920389152956,0.07968047714234004
2022,joint_core,5952,1413,700,143,10,12.221031012232736,15.508881869967468,0.310277897016156
2022,joint_interactions,5952,1413,700,150,10,12.24864952513139,15.56381364200414,0.36233602164258766
2023,baseline,7365,1345,708,136,10,13.090053442149776,16.329789707399904,-1.109539207427107
2023,orientation_crosswind,7365,1345,708,137,10,13.027181534966264,16.197131814008436,-1.011810539988347
2023,orientation_vector,7365,1345,708,138,10,13.01922525395056,16.185660378304792,-1.0890279825872426
2023,climate_full,7365,1345,708,141,10,12.99822635992179,16.20023525623739,-1.1098834844480763
2023,joint_core,7365,1345,708,143,10,12.996477892702858,16.17818864416462,-1.048611843812975
