game_id,season,week,start_date,away_team,home_team,division_track,closing_total,line_provider,line_source,line_provider_count,line_total_min,line_total_max,line_total_range,line_total_median,selected_vs_market_median,odds_match_confidence,line_first_seen_utc,line_last_seen_utc
401868061,2026,2,2026-09-12T21:00:00Z,Morehead State,Austin Peay,FCS,63.5,hardrockbet (OddsPapi),OddsPapi,1,63.5,63.5,0.0,63.5,0.0,0.97,2026-09-09T07:26:49+00:00,2026-09-09T07:26:49+00:00
401869130,2026,2,2026-09-12T23:00:00Z,Northwestern State,East Texas A&M,FCS,51.5,hardrockbet (OddsPapi),OddsPapi,1,51.5,51.5,0.0,51.5,0.0,0.985,2026-09-09T07:26:49+00:00,2026-09-09T07:26:49+00:00
401868112,2026,2,2026-09-12T19:00:00Z,Utah Tech,Montana,FCS,57.5,hardrockbet (OddsPapi),OddsPapi,1,57.5,57.5,0.0,57.5,0.0,0.97,2026-09-09T07:26:49+00:00,2026-09-09T07:26:49+00:00
401868141,2026,2,2026-09-12T22:00:00Z,Chattanooga,Eastern Kentucky,FCS,47.5,hardrockbet (OddsPapi),OddsPapi,1,47.5,47.5,0.0,47.5,0.0,0.97,2026-09-09T07:26:49+00:00,2026-09-09T07:26:49+00:00
401868123,2026,2,2026-09-12T21:00:00Z,Incarnate Word,Northern Arizona,FCS,55.5,hardrockbet (OddsPapi),OddsPapi,1,55.5,55.5,0.0,55.5,0.0,0.97,2026-09-09T07:26:49+00:00,2026-09-09T07:26:49+00:00
401867867,2026,2,2026-09-12T23:00:00Z,Valparaiso,Murray State,FCS,50.5,hardrockbet (OddsPapi),OddsPapi,1,50.5,50.5,0.0,50.5,0.0,0.97,2026-09-09T07:26:49+00:00,2026-09-09T07:26:49+00:00
401868093,2026,2,2026-09-12T20:00:00Z,Lamar,Idaho,FCS,49.5,hardrockbet (OddsPapi),OddsPapi,1,49.5,49.5,0.0,49.5,0.0,0.97,2026-09-09T07:26:49+00:00,2026-09-09T07:26:49+00:00
401868374,2026,2,2026-09-12T22:00:00Z,Furman,Mercer,FCS,54.5,hardrockbet (OddsPapi),OddsPapi,1,54.5,54.5,0.0,54.5,0.0,0.97,2026-09-09T07:26:49+00:00,2026-09-09T07:26:49+00:00
401868236,2026,2,2026-09-12T23:00:00Z,Tarleton State,McNeese,FCS,56.5,hardrockbet (OddsPapi),OddsPapi,1,56.5,56.5,0.0,56.5,0.0,0.985,2026-09-09T07:26:49+00:00,2026-09-09T07:26:49+00:00
401868285,2026,2,2026-09-12T20:00:00Z,Stetson,Bethune-Cookman,FCS,57.5,hardrockbet (OddsPapi),OddsPapi,1,57.5,57.5,0.0,57.5,0.0,0.97,2026-09-09T07:26:49+00:00,2026-09-09T07:26:49+00:00
