test_season,train_games,test_games,numeric_features,categorical_features,prior_team_stat_features,model_mae,zero_residual_baseline_mae,avg_pred_residual,avg_actual_residual
2016,1445,719,136,10,126,14.001267994094599,13.201668984700973,0.14968375666810538,1.0751043115438108
2017,2164,745,136,10,126,14.375464768317473,13.774496644295303,1.9136494404274882,-0.21073825503355706
2018,2909,812,136,10,126,13.099781469297376,12.800492610837438,-0.3831086112063009,0.5086206896551724
2019,3721,841,136,10,126,13.178912506747453,12.969084423305588,0.3298699940289888,-0.020214030915576695
2020,4562,541,136,10,126,14.366077075123288,13.862292051756008,2.482603072704284,0.7717190388170055
2021,5103,849,136,10,126,12.851049965248176,12.37279151943463,1.6417848593469284,-0.5341578327444052
2022,5952,1413,136,10,126,12.702245623814253,12.566878980891719,0.4731514172828,0.6588818117480538
2023,7365,1345,136,10,126,12.734852496159004,12.643494423791822,1.297625224394484,0.7386617100371747
2024,8710,1503,136,10,126,12.952485226703061,12.932135728542914,0.32017841506369193,0.9401197604790419
2025,10213,1544,136,10,126,12.432599684585679,12.251295336787564,0.5827377541673049,0.2661917098445596
