model,threshold,temp_bin,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,avg_market_residual,avg_abs_pred_edge
elastic_net,1.5,35-50,651,641,345,296,10,0.5382215288611545,0.01441200505163065,0.49951387438467243,0.5764737790173414,17.636363636363633,0.0275138278258403,0.6190476190476191,3.17012596437258
elastic_net,1.5,50-70,1818,1799,922,877,19,0.5125069483046136,-0.011302575504910206,0.489406893812082,0.5355537017277591,-38.8181818181818,-0.02157764414573752,0.09158415841584158,3.3508219210117103
elastic_net,1.5,70-85,1834,1816,923,893,18,0.5082599118942731,-0.015549611915250727,0.48527304983981767,0.5312119013779146,-53.90909090909091,-0.029685622747296754,0.22464558342420937,3.0204507911240386
elastic_net,1.5,85+,454,446,210,236,8,0.47085201793721976,-0.05295750587230408,0.42497307116132843,0.5172288061216974,-45.090909090909086,-0.10110069302894414,1.4878854625550662,2.9875687888541966
elastic_net,1.5,<=35,114,111,53,58,3,0.4774774774774775,-0.04633204633204635,0.3868721294381169,0.5695896405128417,-9.818181818181818,-0.08845208845208845,-0.956140350877193,3.0527622474238556
elastic_net,1.5,missing,77,74,37,37,3,0.5,-0.023809523809523836,0.38892400848268727,0.6110759915173127,-3.363636363636365,-0.04545454545454548,-1.7662337662337662,2.545146329828823
elastic_net,2.5,35-50,349,340,187,153,9,0.55,0.02619047619047621,0.4968530904975825,0.6020296508577395,17.000000000000007,0.050000000000000024,-0.06876790830945559,4.223580335654579
elastic_net,2.5,50-70,949,940,471,469,9,0.5010638297872341,-0.022745694022289764,0.46916061215162297,0.5329583874771284,-40.81818181818181,-0.04342359767891682,-0.18229715489989462,4.63946284844245
elastic_net,2.5,70-85,904,894,447,447,10,0.5,-0.023809523809523836,0.46729409177376224,0.5327059082262378,-40.63636363636363,-0.04545454545454545,0.18584070796460178,4.125644187475775
elastic_net,2.5,85+,237,235,110,125,2,0.46808510638297873,-0.0557244174265451,0.4053137155505193,0.5318831546764429,-24.999999999999993,-0.10638297872340423,1.4936708860759493,3.9405932129137504
elastic_net,2.5,<=35,60,58,32,26,2,0.5517241379310345,0.02791461412151064,0.4245185822161052,0.6725034870705885,3.0909090909090917,0.053291536050156754,-0.8083333333333333,4.072041728593565
elastic_net,2.5,missing,30,29,14,15,1,0.4827586206896552,-0.04105090311986864,0.3138581933079522,0.6556926202943085,-2.2727272727272725,-0.07836990595611285,-1.0,3.511269073412457
elastic_net,3.5,35-50,171,165,96,69,6,0.5818181818181818,0.058008658008657954,0.5055299515621888,0.6543832451855321,18.27272727272727,0.11074380165289255,-1.0614035087719298,5.590841056489332
elastic_net,3.5,50-70,511,505,250,255,6,0.49504950495049505,-0.02876001885902879,0.451644496328417,0.538529263049747,-27.72727272727272,-0.05490549054905489,0.08806262230919765,6.095967568785135
elastic_net,3.5,70-85,470,465,228,237,5,0.49032258064516127,-0.03348694316436257,0.4451504451772185,0.5356533060257463,-29.72727272727272,-0.06392961876832842,-0.3393617021276596,5.237250686247111
