model,threshold,wind_bin,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,avg_market_residual,avg_abs_pred_edge
elastic_net,1.5,0-5,1561,1541,793,748,20,0.5146009085009734,-0.009208615308550439,0.4896416579401643,0.5394875421020925,-27.090909090909083,-0.01758008377086897,-0.20723894939141577,3.27932392032751
elastic_net,1.5,10-15,942,927,473,454,15,0.5102481121898598,-0.013561411619664065,0.4780916024504082,0.5423200336432087,-23.999999999999993,-0.025889967637540444,-0.27070063694267515,3.1133221143196663
elastic_net,1.5,15-20,245,243,110,133,2,0.45267489711934156,-0.07113462669018228,0.39131117094121515,0.5155116660522251,-32.99999999999999,-0.13580246913580243,0.7306122448979592,3.0841059851110013
elastic_net,1.5,20+,94,93,46,47,1,0.4946236559139785,-0.029185867895545337,0.39525719013807575,0.5944166690298852,-5.181818181818181,-0.055718475073313775,-1.1648936170212767,4.651471469357577
elastic_net,1.5,5-10,2029,2009,1031,978,20,0.5131906421105027,-0.010618881699021143,0.49132960302904427,0.5350013313077658,-40.727272727272734,-0.02027241051631296,1.0137999014292756,3.0334183226620346
elastic_net,1.5,missing,77,74,37,37,3,0.5,-0.023809523809523836,0.38892400848268727,0.6110759915173127,-3.363636363636365,-0.04545454545454548,-1.7662337662337662,2.5451463298288224
elastic_net,2.5,0-5,804,795,412,383,9,0.5182389937106918,-0.005570530098832016,0.48350090378351374,0.5528016623322219,-8.454545454545443,-0.010634648370497412,0.125,4.5429592340685545
elastic_net,2.5,10-15,488,478,245,233,10,0.5125523012552301,-0.011257222554293733,0.4678210702619077,0.5570833796652053,-10.27272727272727,-0.021491061240015208,-0.3698770491803279,4.219580633180896
elastic_net,2.5,15-20,123,123,54,69,0,0.43902439024390244,-0.0847851335656214,0.354485645582187,0.5272566219388787,-19.90909090909091,-0.16186252771618626,0.08130081300813008,4.206960721415959
elastic_net,2.5,20+,56,56,29,27,0,0.5178571428571429,-0.005952380952380931,0.3901016225125491,0.6433199437557326,-0.6363636363636364,-0.011363636363636364,-2.4464285714285716,6.429531809046791
elastic_net,2.5,5-10,1028,1015,507,508,13,0.4995073891625616,-0.024302134646962237,0.46880683204456036,0.5302116611147295,-47.090909090909086,-0.0463949843260188,0.4703307392996109,4.081226359674532
elastic_net,2.5,missing,30,29,14,15,1,0.4827586206896552,-0.04105090311986864,0.3138581933079522,0.6556926202943085,-2.2727272727272725,-0.07836990595611285,-1.0,3.5112690734124525
elastic_net,3.5,0-5,426,423,215,208,3,0.508274231678487,-0.015535292131036882,0.4607718771108539,0.5556276490834063,-12.545454545454541,-0.029658284977433905,0.39906103286384975,5.976754826885765
elastic_net,3.5,10-15,265,259,137,122,6,0.528957528957529,0.005148005148005175,0.46818667748410975,0.5888819143978452,2.545454545454545,0.009828009828009826,-0.869811320754717,5.305694594004803
elastic_net,3.5,15-20,70,70,31,39,0,0.44285714285714284,-0.080952380952381,0.3324934170610057,0.5591665686381124,-10.81818181818182,-0.15454545454545457,-0.35,5.204579931620493
elastic_net,3.5,20+,29,29,16,13,0,0.5517241379310345,0.02791461412151064,0.37547667068067625,0.715870888512542,1.5454545454545454,0.05329153605015674,-4.258620689655173,9.565410334018702
elastic_net,3.5,5-10,513,504,244,260,9,0.48412698412698413,-0.03968253968253971,0.4407815602995718,0.5277125528254656,-38.18181818181817,-0.07575757575757575,0.46881091617933723,5.241694748540096
elastic_net,3.5,missing,10,9,5,4,1,0.5555555555555556,0.031746031746031744,0.2666473457440297,0.811224570528086,0.5454545454545453,0.06060606060606059,5.75,4.644012128325501
