status,model_signal,decision_state,decision_due,generated_at_utc,decision_target_utc,hours_to_kickoff,hours_from_24h_target,season,week,game_id,kickoff_utc,gameday,gametime,away_team,home_team,stadium,stadium_id,decision_roof,surface,lat,lon,closing_total,consensus_over_price,consensus_over_sportsbook,best_over_price_same_line,best_over_sportsbook_same_line,sportsbooks_at_selected_line,sportsbooks_in_snapshot,market_total_min,market_total_max,market_total_range,odds_event_id,odds_market_last_update,odds_request_remaining,odds_request_used,odds_request_last,forecast_model,forecast_temp_24h,forecast_wind_24h,forecast_temp_48h,forecast_wind_48h,forecast_temp_72h,forecast_wind_72h,forecast_complete_24h,pred_market_residual,over_probability,model_projected_total,qualifier_threshold,strong_threshold,probability_threshold
EARLY LOOK,NO PLAY,BEFORE_24H_WINDOW,False,2026-09-26T11:48:32.807372+00:00,2026-09-26 17:00:00+00:00,29.190886841111112,5.190886841111112,2026,3,2026_03_LAC_BUF,2026-09-27 17:00:00+00:00,2026-09-27,13:00,LAC,BUF,Highmark Stadium,BUF00,outdoors,a_turf,42.7737531,-78.786954,50.0,-110.0,BetRivers,-107.0,LowVig.ag,7,9,50.0,50.5,0.5,b225458a282e140c44c45651255f2f6c,2026-09-26T11:48:28+00:00,211,289,1,jma_gsm,63.6,9.0,63.5,9.8,64.1,8.8,True,-0.8440694255070009,0.419482277996108,49.155930574493,3.0,4.0,0.6
EARLY LOOK,NO PLAY,BEFORE_24H_WINDOW,False,2026-09-26T11:48:32.807372+00:00,2026-09-26 17:00:00+00:00,29.190886841111112,5.190886841111112,2026,3,2026_03_CAR_CLE,2026-09-27 17:00:00+00:00,2026-09-27,13:00,CAR,CLE,Huntington Bank Field,CLE00,outdoors,grass,41.5060371,-81.699586,42.5,-110.0,DraftKings,-108.0,BetRivers,5,9,41.5,42.5,1.0,613b8cd3a5fab58f7be4e3fd6f76223e,2026-09-26T11:48:28+00:00,211,289,1,jma_gsm,67.7,9.9,67.9,10.6,66.6,10.2,True,-0.5357567871523166,0.40102431397089566,41.964243212847684,3.0,4.0,0.6
EARLY LOOK,NO PLAY,BEFORE_24H_WINDOW,False,2026-09-26T11:48:32.807372+00:00,2026-09-26 17:00:00+00:00,29.190886841111112,5.190886841111112,2026,3,2026_03_NYJ_DET,2026-09-27 17:00:00+00:00,2026-09-27,13:00,NYJ,DET,Ford Field,DET00,dome,fieldturf,42.3401334,-83.0456783,48.0,-113.0,LowVig.ag,-108.0,BetMGM,7,9,48.0,48.5,0.5,07f552badfa8a565d1be22123713e4da,2026-09-26T11:48:28+00:00,211,289,1,jma_gsm,,,,,,,True,2.5200403535970164,0.6062059679642093,50.52004035359702,3.0,4.0,0.6
EARLY LOOK,NO PLAY,BEFORE_24H_WINDOW,False,2026-09-26T11:48:32.807372+00:00,2026-09-26 17:00:00+00:00,29.190886841111112,5.190886841111112,2026,3,2026_03_HOU_IND,2026-09-27 17:00:00+00:00,2026-09-27,13:00,HOU,IND,Lucas Oil Stadium,IND00,retractable,fieldturf,39.7602037,-86.1638068,42.5,-112.0,BetUS,-105.0,Bovada,8,9,42.5,43.0,0.5,17a730b7d399feeab6a78c30767c29d2,2026-09-26T11:48:27+00:00,211,289,1,jma_gsm,,,,,,,True,3.687234443958511,0.5116728859870553,46.18723444395851,3.0,4.0,0.6
EARLY LOOK,NO PLAY,BEFORE_24H_WINDOW,False,2026-09-26T11:48:32.807372+00:00,2026-09-26 17:00:00+00:00,29.190886841111112,5.190886841111112,2026,3,2026_03_NE_JAX,2026-09-27 17:00:00+00:00,2026-09-27,13:00,NE,JAX,EverBank Stadium,JAX00,outdoors,grass,30.3239164,-81.6373486,46.0,-110.0,BetUS,-109.0,LowVig.ag,6,9,45.5,46.5,1.0,1f3cfd315a24d1a7dd5859a8e6b88e18,2026-09-26T11:48:13+00:00,211,289,1,jma_gsm,82.1,0.9,82.9,1.4,80.9,2.7,True,1.8486286194730717,0.5697016809818667,47.848628619473075,3.0,4.0,0.6
EARLY LOOK,NO PLAY,BEFORE_24H_WINDOW,False,2026-09-26T11:48:32.807372+00:00,2026-09-26 17:00:00+00:00,29.190886841111112,5.190886841111112,2026,3,2026_03_KC_MIA,2026-09-27 17:00:00+00:00,2026-09-27,13:00,KC,MIA,Hard Rock Stadium,MIA00,outdoors,grass,25.9579623,-80.2388423,45.5,-105.0,FanDuel,-102.0,LowVig.ag,5,9,45.0,45.5,0.5,0339a0e41bcee12820eb3e64bb5fadb4,2026-09-26T11:48:28+00:00,211,289,1,jma_gsm,82.6,4.7,82.4,5.4,82.8,6.1,True,-1.8860702534661937,0.4596294103203864,43.613929746533806,3.0,4.0,0.6
EARLY LOOK,NO PLAY,BEFORE_24H_WINDOW,False,2026-09-26T11:48:32.807372+00:00,2026-09-26 17:00:00+00:00,29.190886841111112,5.190886841111112,2026,3,2026_03_TEN_NYG,2026-09-27 17:00:00+00:00,2026-09-27,13:00,TEN,NYG,MetLife Stadium,NYC01,outdoors,fieldturf,40.813507465,-74.074342406,38.0,-110.0,BetUS,-105.0,Bovada,6,9,37.5,38.5,1.0,555afd4a27aaa392662881cffa8f2eef,2026-09-26T11:48:28+00:00,211,289,1,jma_gsm,61.6,23.5,63.2,20.2,59.0,20.6,True,-3.422816210639597,0.29898558192300256,34.577183789360404,3.0,4.0,0.6
EARLY LOOK,NO PLAY,BEFORE_24H_WINDOW,False,2026-09-26T11:48:32.807372+00:00,2026-09-26 17:00:00+00:00,29.190886841111112,5.190886841111112,2026,3,2026_03_CIN_PIT,2026-09-27 17:00:00+00:00,2026-09-27,13:00,CIN,PIT,Acrisure Stadium,PIT00,outdoors,grass,40.4467883,-80.0157692,42.5,-110.0,MyBookie.ag,-109.0,BetRivers,6,9,42.5,43.0,0.5,71123be049587b6facce3a20c53e5d09,2026-09-26T11:48:28+00:00,211,289,1,jma_gsm,70.6,8.9,69.7,9.8,67.4,7.7,True,-2.4269306295474222,0.37453600672654164,40.07306937045258,3.0,4.0,0.6
EARLY LOOK,NO PLAY,BEFORE_24H_WINDOW,False,2026-09-26T11:48:32.807372+00:00,2026-09-26 17:00:00+00:00,29.190886841111112,5.190886841111112,2026,3,2026_03_SEA_WAS,2026-09-27 17:00:00+00:00,2026-09-27,13:00,SEA,WAS,Northwest Stadium,WAS00,outdoors,grass,38.907703,-76.8645083,40.0,-113.0,LowVig.ag,-110.0,MyBookie.ag,6,9,40.0,40.5,0.5,2a529c108305ffa049d8b6cfdbaa4d36,2026-09-26T11:48:13+00:00,211,289,1,jma_gsm,67.5,16.9,64.7,16.1,68.8,12.9,True,-3.932525667340559,0.31172283604317896,36.067474332659444,3.0,4.0,0.6
EARLY LOOK,NO PLAY,BEFORE_24H_WINDOW,False,2026-09-26T11:48:32.807372+00:00,2026-09-26 20:05:00+00:00,32.274220174444444,8.274220174444444,2026,3,2026_03_ARI_SF,2026-09-27 20:05:00+00:00,2026-09-27,16:05,ARI,SF,Levi's Stadium,SFO01,outdoors,grass,37.4031837,-121.9698094,48.0,-110.0,BetUS,-103.0,LowVig.ag,6,9,47.5,48.0,0.5,9d2b09e0f9b6dd5ce0d985894f4f98fa,2026-09-26T11:48:28+00:00,211,289,1,jma_gsm,64.5,8.4,65.2,8.7,65.2,9.2,True,2.2395102967582,0.5829881123973036,50.2395102967582,3.0,4.0,0.6
