strategy,legs,parlays,graded,wins,losses,pushes,hit_rate,breakeven_hit_rate_at_minus_110_legs,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_parlay,roi_per_1u_parlay,avg_abs_pred_edge_per_leg,avg_market_residual_per_leg
hgb_under_3p5_all,2,6619,6618,2218,4400,1,0.3351465699607132,0.27437641723356004,0.32387215779962253,0.34661225849931143,1299.1735537190093,0.1963090894105484,5.921561337170608,-1.3943193835926877
hgb_under_3p5_all,3,26337,26337,5669,20668,0,0.21524850970118084,0.1437209804556743,0.21032648613772953,0.22025359069626194,12017.251690458306,0.4562877962736191,5.9682850945889365,-1.8120261735707688
hgb_under_3p5_consensus,2,4906,4906,1643,3263,0,0.3348960456583775,0.27437641723356004,0.3218231313661152,0.3482273240294316,977.9917355371907,0.19934605290199567,5.9490393560909975,-1.5522319608642479
hgb_under_3p5_consensus,3,20436,20436,4431,16005,0,0.21682325308279507,0.1437209804556743,0.21122685309093586,0.22252609732331785,9612.633358377163,0.4703774397326856,5.946464163840902,-1.9647028120310561
hgb_under_3p5_high_total,2,2314,2314,855,1459,0,0.36949006050129646,0.27437641723356004,0.3500552234286465,0.38935751297232235,751.8264462809923,0.3249033907869457,6.084452522239113,-2.1522255834053587
hgb_under_3p5_high_total,3,5270,5270,1386,3884,0,0.26299810246679317,0.1437209804556743,0.2512871147000279,0.2750543666216712,4198.081141998498,0.796599837191366,6.13947221054271,-2.456546489563567
hgb_under_5p0_all,2,2255,2254,745,1509,1,0.3305235137533274,0.27437641723356004,0.31140631129431834,0.3502174270582747,383.14876033057885,0.1699861403418717,7.2872334395838925,-0.8522172949002217
hgb_under_5p0_all,3,5532,5532,1112,4420,0,0.2010122921185828,0.1437209804556743,0.19066061265142004,0.21177893691950705,1810.7738542449295,0.3273271609264153,7.394978230705191,-1.0698662328271875
hgb_under_5p0_consensus,2,1753,1753,567,1186,0,0.32344552196235027,0.27437641723356004,0.3019534976455317,0.34570967244333695,261.4380165289258,0.14913748803703697,7.24297767589315,-0.5862806617227609
hgb_under_5p0_consensus,3,4437,4437,836,3601,0,0.18841559612350686,0.1437209804556743,0.17718063090921155,0.200189640527626,1091.569496619084,0.246015212219762,7.3160561464207765,-0.7154984599203665
hgb_under_5p0_high_total,2,869,869,318,551,0,0.3659378596087457,0.27437641723356004,0.33456604829232817,0.39848975473080905,262.22314049586794,0.30175275085830605,7.427164707705195,-1.6930379746835442
hgb_under_5p0_high_total,3,1266,1266,303,963,0,0.23933649289099526,0.1437209804556743,0.21664350006043437,0.2636066350745304,749.4793388429755,0.5920057968743883,7.6335444966591535,-1.9218009478672986
hgb_all_sides_5p0_consensus,2,6909,6909,2171,4738,0,0.31422781878708933,0.27437641723356004,0.30338747790028425,0.32527463407404483,845.5537190082655,0.12238438544047843,7.101972687962648,0.526233897814445
hgb_all_sides_5p0_consensus,3,32788,32788,5799,26989,0,0.17686348664145418,0.1437209804556743,0.1727713768078964,0.18103130806479462,6467.626596543958,0.19725590449383792,7.113298795677243,0.4165090886909846
