record_kind,snapshot_timestamp_utc,protocol_version,protocol_sha256,github_event_name,github_event_schedule,github_run_id,github_run_attempt,source_git_sha,official_eligible,season,week,game_id,start_date,away_team,home_team,division_track,closing_total,benchmark_close_total,line_provider,line_source,line_provider_count,line_total_min,line_total_max,line_total_median,line_total_range,selected_vs_market_median,capture_lead_minutes,home_classification,away_classification
close_capture,2026-09-05T19:02:31.236603Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33985868564,1,16735ba83e0c7e056ac716231a9e523c2ca2b683,False,2026,1,401856667,2026-09-05 19:30:00+00:00,Texas State,Texas,FBS,61.5,60.75,DraftKings,CFBD,2.0,60.0,61.5,60.75,1.5,0.75,27.479389949999998,fbs,fbs
close_capture,2026-09-05T19:02:31.236603Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33985868564,1,16735ba83e0c7e056ac716231a9e523c2ca2b683,False,2026,1,401866625,2026-09-05 19:30:00+00:00,Western Carolina,Campbell,FCS,68.5,68.5,DraftKings,CFBD,1.0,68.5,68.5,68.5,0.0,0.0,27.479389949999998,fcs,fcs
close_capture,2026-09-05T19:02:31.236603Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33985868564,1,16735ba83e0c7e056ac716231a9e523c2ca2b683,False,2026,1,401858434,2026-09-05 19:30:00+00:00,Marshall,Penn State,FBS,52.5,52.25,DraftKings,CFBD,2.0,52.0,52.5,52.25,0.5,0.25,27.479389949999998,fbs,fbs
close_capture,2026-09-05T19:02:31.236603Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33985868564,1,16735ba83e0c7e056ac716231a9e523c2ca2b683,False,2026,1,401866627,2026-09-05 19:30:00+00:00,Maine,App State,OTHER,53.5,53.75,DraftKings,CFBD,2.0,53.5,54.0,53.75,0.5,-0.25,27.479389949999998,fbs,fcs
close_capture,2026-09-05T19:02:31.236603Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33985868564,1,16735ba83e0c7e056ac716231a9e523c2ca2b683,False,2026,1,401856666,2026-09-05 19:30:00+00:00,Furman,Tennessee,OTHER,66.5,66.5,DraftKings,CFBD,2.0,66.5,66.5,66.5,0.0,0.0,27.479389949999998,fbs,fcs
close_capture,2026-09-05T19:02:31.236603Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33985868564,1,16735ba83e0c7e056ac716231a9e523c2ca2b683,False,2026,1,401862694,2026-09-05 19:30:00+00:00,The Citadel,Charlotte,OTHER,49.5,49.25,DraftKings,CFBD,2.0,49.0,49.5,49.25,0.5,0.25,27.479389949999998,fbs,fcs
close_capture,2026-09-05T19:02:31.236603Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33985868564,1,16735ba83e0c7e056ac716231a9e523c2ca2b683,False,2026,1,401862696,2026-09-05 19:30:00+00:00,Towson,Navy,OTHER,50.5,50.5,DraftKings,CFBD,2.0,50.5,50.5,50.5,0.0,0.0,27.479389949999998,fbs,fcs
close_capture,2026-09-05T19:02:31.236603Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33985868564,1,16735ba83e0c7e056ac716231a9e523c2ca2b683,False,2026,1,401862700,2026-09-05 19:30:00+00:00,UT Rio Grande Valley,UTSA,OTHER,59.5,59.5,DraftKings,CFBD,2.0,59.5,59.5,59.5,0.0,0.0,27.479389949999998,fbs,fcs
close_capture,2026-09-05T19:02:31.236603Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33985868564,1,16735ba83e0c7e056ac716231a9e523c2ca2b683,False,2026,1,401858209,2026-09-05 19:30:00+00:00,Tulane,Duke,FBS,50.5,50.5,DraftKings,CFBD,2.0,50.5,50.5,50.5,0.0,0.0,27.479389949999998,fbs,fbs
close_capture,2026-09-05T19:02:31.236603Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33985868564,1,16735ba83e0c7e056ac716231a9e523c2ca2b683,False,2026,1,401864499,2026-09-05 19:30:00+00:00,Fordham,North Dakota State,OTHER,54.5,54.25,DraftKings,CFBD,2.0,54.0,54.5,54.25,0.5,0.25,27.479389949999998,fbs,fcs
close_capture,2026-09-05T19:02:31.236603Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33985868564,1,16735ba83e0c7e056ac716231a9e523c2ca2b683,False,2026,1,401856636,2026-09-05 19:30:00+00:00,Baylor,Auburn,FBS,58.5,58.5,DraftKings,CFBD,2.0,58.5,58.5,58.5,0.0,0.0,27.479389949999998,fbs,fbs
close_capture,2026-09-05T19:02:31.236603Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33985868564,1,16735ba83e0c7e056ac716231a9e523c2ca2b683,False,2026,1,401856777,2026-09-05 19:30:00+00:00,Boston College,Cincinnati,FBS,51.5,51.25,DraftKings,CFBD,2.0,51.0,51.5,51.25,0.5,0.25,27.479389949999998,fbs,fbs
close_capture,2026-09-05T19:02:31.236603Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33985868564,1,16735ba83e0c7e056ac716231a9e523c2ca2b683,False,2026,1,401858433,2026-09-05 19:30:00+00:00,Boise State,Oregon,FBS,51.5,51.5,DraftKings,CFBD,2.0,51.5,51.5,51.5,0.0,0.0,27.479389949999998,fbs,fbs
close_capture,2026-09-05T19:02:31.236603Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33985868564,1,16735ba83e0c7e056ac716231a9e523c2ca2b683,False,2026,1,401856772,2026-09-05 19:45:00+00:00,Oklahoma State,Tulsa,FBS,57.5,57.5,DraftKings,CFBD,2.0,57.5,57.5,57.5,0.0,0.0,42.479389950000005,fbs,fbs
close_capture,2026-09-05T19:02:31.236603Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33985868564,1,16735ba83e0c7e056ac716231a9e523c2ca2b683,False,2026,1,401907852,2026-09-05 20:00:00+00:00,Thiel,Alfred State,OTHER,,,,,,,,,,,57.479389950000005,iii,iii
close_capture,2026-09-05T19:02:31.236603Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33985868564,1,16735ba83e0c7e056ac716231a9e523c2ca2b683,False,2026,1,401908429,2026-09-05 20:00:00+00:00,Cal Lutheran,Pacific Lutheran,OTHER,,,,,,,,,,,57.479389950000005,iii,iii
close_capture,2026-09-05T19:02:31.236603Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33985868564,1,16735ba83e0c7e056ac716231a9e523c2ca2b683,False,2026,1,401907634,2026-09-05 20:00:00+00:00,Southwest Minnesota State,Bemidji State,OTHER,,,,,,,,,,,57.479389950000005,ii,ii
close_capture,2026-09-05T19:02:31.236603Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33985868564,1,16735ba83e0c7e056ac716231a9e523c2ca2b683,False,2026,1,401907615,2026-09-05 20:00:00+00:00,West Liberty,Seton Hill,OTHER,,,,,,,,,,,57.479389950000005,ii,ii
close_capture,2026-09-05T19:02:31.236603Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33985868564,1,16735ba83e0c7e056ac716231a9e523c2ca2b683,False,2026,1,401907130,2026-09-05 20:00:00+00:00,Colorado Mesa,Eastern New Mexico,OTHER,,,,,,,,,,,57.479389950000005,ii,ii
close_capture,2026-09-05T19:02:31.236603Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33985868564,1,16735ba83e0c7e056ac716231a9e523c2ca2b683,False,2026,1,401906921,2026-09-05 20:00:00+00:00,Florida Memorial University,Allen,OTHER,,,,,,,,,,,57.479389950000005,ii,
