record_kind,snapshot_timestamp_utc,protocol_version,protocol_sha256,github_event_name,github_event_schedule,github_run_id,github_run_attempt,source_git_sha,official_eligible,season,week,game_id,start_date,away_team,home_team,division_track,closing_total,benchmark_close_total,line_provider,line_source,line_provider_count,line_total_min,line_total_max,line_total_median,line_total_range,selected_vs_market_median,capture_lead_minutes,home_classification,away_classification
close_capture,2026-09-05T23:20:55.015060Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33998409506,1,f166717742f65706219ecd54f95c9fe831f763ad,False,2026,1,401906929,2026-09-05 23:30:00+00:00,Roosevelt,Quincy,OTHER,,,,,,,,,,,9.083082333333333,ii,ii
close_capture,2026-09-05T23:20:55.015060Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33998409506,1,f166717742f65706219ecd54f95c9fe831f763ad,False,2026,1,401858428,2026-09-05 23:30:00+00:00,Western Michigan,Michigan,FBS,49.5,49.5,DraftKings,CFBD,2.0,49.5,49.5,49.5,0.0,0.0,9.083082333333333,fbs,fbs
close_capture,2026-09-05T23:20:55.015060Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33998409506,1,f166717742f65706219ecd54f95c9fe831f763ad,False,2026,1,401869129,2026-09-05 23:30:00+00:00,Northwestern State,Louisiana Tech,OTHER,56.5,56.5,DraftKings,CFBD,2.0,56.5,56.5,56.5,0.0,0.0,9.083082333333333,fbs,fcs
close_capture,2026-09-05T23:20:55.015060Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33998409506,1,f166717742f65706219ecd54f95c9fe831f763ad,False,2026,1,401908231,2026-09-05 23:30:00+00:00,Centre,Hanover,OTHER,,,,,,,,,,,9.083082333333333,iii,iii
close_capture,2026-09-05T23:20:55.015060Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33998409506,1,f166717742f65706219ecd54f95c9fe831f763ad,False,2026,1,401856662,2026-09-05 23:30:00+00:00,UL Monroe,Mississippi State,FBS,54.5,54.75,DraftKings,CFBD,2.0,54.5,55.0,54.75,0.5,-0.25,9.083082333333333,fbs,fbs
close_capture,2026-09-05T23:20:55.015060Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33998409506,1,f166717742f65706219ecd54f95c9fe831f763ad,False,2026,1,401856660,2026-09-05 23:30:00+00:00,Clemson,LSU,FBS,48.5,49.25,DraftKings,CFBD,2.0,48.5,50.0,49.25,1.5,-0.75,9.083082333333333,fbs,fbs
close_capture,2026-09-05T23:20:55.015060Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33998409506,1,f166717742f65706219ecd54f95c9fe831f763ad,False,2026,1,401858211,2026-09-05 23:30:00+00:00,VMI,Virginia Tech,OTHER,60.5,61.25,DraftKings,CFBD,2.0,60.5,62.0,61.25,1.5,-0.75,9.083082333333333,fbs,fcs
close_capture,2026-09-05T23:20:55.015060Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33998409506,1,f166717742f65706219ecd54f95c9fe831f763ad,False,2026,1,401908008,2026-09-05 23:30:00+00:00,Aurora,Wisconsin Platteville,OTHER,,,,,,,,,,,9.083082333333333,iii,iii
close_capture,2026-09-05T23:20:55.015060Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33998409506,1,f166717742f65706219ecd54f95c9fe831f763ad,False,2026,1,401908111,2026-09-05 23:30:00+00:00,Point University,LaGrange,OTHER,,,,,,,,,,,9.083082333333333,iii,
close_capture,2026-09-05T23:20:55.015060Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33998409506,1,f166717742f65706219ecd54f95c9fe831f763ad,False,2026,1,401856637,2026-09-05 23:45:00+00:00,Florida Atlantic,Florida,FBS,59.5,59.5,DraftKings,CFBD,2.0,59.5,59.5,59.5,0.0,0.0,24.083082333333333,fbs,fbs
close_capture,2026-09-05T23:20:55.015060Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33998409506,1,f166717742f65706219ecd54f95c9fe831f763ad,False,2026,1,401867845,2026-09-06 00:00:00+00:00,Illinois State,Western Illinois,FCS,58.5,58.5,DraftKings,CFBD,1.0,58.5,58.5,58.5,0.0,0.0,39.08308233333333,fcs,fcs
close_capture,2026-09-05T23:20:55.015060Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33998409506,1,f166717742f65706219ecd54f95c9fe831f763ad,False,2026,1,401868074,2026-09-06 00:00:00+00:00,Central Washington,Cal Poly,OTHER,,,,,,,,,,,39.08308233333333,fcs,ii
close_capture,2026-09-05T23:20:55.015060Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33998409506,1,f166717742f65706219ecd54f95c9fe831f763ad,False,2026,1,401907357,2026-09-06 00:00:00+00:00,Emporia State,Pittsburg State,OTHER,,,,,,,,,,,39.08308233333333,ii,ii
close_capture,2026-09-05T23:20:55.015060Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33998409506,1,f166717742f65706219ecd54f95c9fe831f763ad,False,2026,1,401867883,2026-09-06 00:00:00+00:00,South Dakota,Northern Colorado,FCS,56.5,56.5,DraftKings,CFBD,1.0,56.5,56.5,56.5,0.0,0.0,39.08308233333333,fcs,fcs
close_capture,2026-09-05T23:20:55.015060Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",33998409506,1,f166717742f65706219ecd54f95c9fe831f763ad,False,2026,1,401907465,2026-09-06 00:00:00+00:00,Washington St. Louis,Rhodes,OTHER,,,,,,,,,,,39.08308233333333,iii,iii
