record_kind,snapshot_timestamp_utc,protocol_version,protocol_sha256,github_event_name,github_event_schedule,github_run_id,github_run_attempt,source_git_sha,official_eligible,season,week,game_id,start_date,away_team,home_team,division_track,closing_total,benchmark_close_total,line_provider,line_source,line_provider_count,line_total_min,line_total_max,line_total_median,line_total_range,selected_vs_market_median,capture_lead_minutes,home_classification,away_classification
close_capture,2026-09-06T01:20:44.998273Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",34003634357,1,838691862ba0295d4619044a7c1feffc548f1199,False,2026,1,401860879,2026-09-06 01:30:00+00:00,Portland State,San Diego State,OTHER,62.5,62.25,DraftKings,CFBD,2.0,62.0,62.5,62.25,0.5,0.25,9.250028783333333,fbs,fcs
close_capture,2026-09-06T01:20:44.998273Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",34003634357,1,838691862ba0295d4619044a7c1feffc548f1199,False,2026,1,401856773,2026-09-06 01:30:00+00:00,Northern Arizona,Arizona,OTHER,59.5,59.0,DraftKings,CFBD,2.0,58.5,59.5,59.0,1.0,0.5,9.250028783333333,fbs,fcs
close_capture,2026-09-06T01:20:44.998273Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",34003634357,1,838691862ba0295d4619044a7c1feffc548f1199,False,2026,1,401864497,2026-09-06 02:00:00+00:00,UNLV,Hawai'i,FBS,55.5,55.5,DraftKings,CFBD,2.0,55.5,55.5,55.5,0.0,0.0,39.25002878333333,fbs,fbs
close_capture,2026-09-06T01:20:44.998273Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",34003634357,1,838691862ba0295d4619044a7c1feffc548f1199,False,2026,1,401864498,2026-09-06 02:00:00+00:00,Central Michigan,New Mexico,FBS,47.5,47.25,DraftKings,CFBD,2.0,47.0,47.5,47.25,0.5,0.25,39.25002878333333,fbs,fbs
close_capture,2026-09-06T01:20:44.998273Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",34003634357,1,838691862ba0295d4619044a7c1feffc548f1199,False,2026,1,401856774,2026-09-06 02:00:00+00:00,Morgan State,Arizona State,OTHER,52.5,52.5,DraftKings,CFBD,2.0,52.5,52.5,52.5,0.0,0.0,39.25002878333333,fbs,fcs
close_capture,2026-09-06T01:20:44.998273Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",34003634357,1,838691862ba0295d4619044a7c1feffc548f1199,False,2026,1,401866411,2026-09-06 02:00:00+00:00,Mississippi Valley State,Sacramento State,OTHER,56.5,56.5,DraftKings,CFBD,1.0,56.5,56.5,56.5,0.0,0.0,39.25002878333333,fbs,fcs
close_capture,2026-09-06T01:20:44.998273Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",34003634357,1,838691862ba0295d4619044a7c1feffc548f1199,False,2026,1,401868163,2026-09-06 02:00:00+00:00,UC Davis,San Diego,FCS,54.5,54.5,DraftKings,CFBD,1.0,54.5,54.5,54.5,0.0,0.0,39.25002878333333,fcs,fcs
close_capture,2026-09-06T01:20:44.998273Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",34003634357,1,838691862ba0295d4619044a7c1feffc548f1199,False,2026,1,401908393,2026-09-06 02:05:00+00:00,Redlands,George Fox,OTHER,,,,,,,,,,,44.25002878333333,iii,iii
close_capture,2026-09-06T01:20:44.998273Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",34003634357,1,838691862ba0295d4619044a7c1feffc548f1199,False,2026,1,401864432,2026-09-06 02:30:00+00:00,Western Kentucky,Nevada,FBS,51.5,51.5,DraftKings,CFBD,2.0,51.5,51.5,51.5,0.0,0.0,69.25002878333333,fbs,fbs
close_capture,2026-09-06T01:20:44.998273Z,2026.3,fdb878165a5023cd135a05bcddd58e04356c77c1650acb11647f9972b55ce049,schedule,"15,45 14-23 * * 4,5,6,0,1",34003634357,1,838691862ba0295d4619044a7c1feffc548f1199,False,2026,1,401858210,2026-09-06 02:30:00+00:00,UCLA,California,FBS,53.5,53.5,DraftKings,CFBD,2.0,53.5,53.5,53.5,0.0,0.0,69.25002878333333,fbs,fbs
