record_kind,snapshot_timestamp_utc,protocol_version,protocol_sha256,github_event_name,github_event_schedule,github_run_id,github_run_attempt,source_git_sha,official_eligible,season,week,game_id,start_date,away_team,home_team,division_track,closing_total,benchmark_close_total,line_provider,line_source,line_provider_count,line_total_min,line_total_max,line_total_median,line_total_range,selected_vs_market_median,capture_lead_minutes,home_classification,away_classification
close_capture,2026-09-12T21:41:10.383687Z,2026.5,6896b9770568baf57f8d4375019ad98ddc2fe7b2f1a2dabc8374b28193757625,schedule,"15,45 14-23 * * 4,5,6,0,1",34720634862,1,667950475e320ca2fa9af86be0d9364641452828,False,2026,2,401866414,2026-09-12 22:00:00+00:00,Buffalo,Florida International,FBS,47.5,47.5,DraftKings,CFBD,2.0,47.5,47.5,47.5,0.0,0.0,18.82693855,fbs,fbs
close_capture,2026-09-12T21:41:10.383687Z,2026.5,6896b9770568baf57f8d4375019ad98ddc2fe7b2f1a2dabc8374b28193757625,schedule,"15,45 14-23 * * 4,5,6,0,1",34720634862,1,667950475e320ca2fa9af86be0d9364641452828,False,2026,2,401908528,2026-09-12 22:00:00+00:00,Westminster (MO),Eureka,OTHER,,,,,,,,,,,18.82693855,iii,iii
close_capture,2026-09-12T21:41:10.383687Z,2026.5,6896b9770568baf57f8d4375019ad98ddc2fe7b2f1a2dabc8374b28193757625,schedule,"15,45 14-23 * * 4,5,6,0,1",34720634862,1,667950475e320ca2fa9af86be0d9364641452828,False,2026,2,401866629,2026-09-12 22:00:00+00:00,Bryant,Hampton,FCS,51.5,51.5,DraftKings,CFBD,1.0,51.5,51.5,51.5,0.0,0.0,18.82693855,fcs,fcs
close_capture,2026-09-12T21:41:10.383687Z,2026.5,6896b9770568baf57f8d4375019ad98ddc2fe7b2f1a2dabc8374b28193757625,schedule,"15,45 14-23 * * 4,5,6,0,1",34720634862,1,667950475e320ca2fa9af86be0d9364641452828,False,2026,2,401866631,2026-09-12 22:00:00+00:00,Stonehill,New Hampshire,FCS,43.5,43.5,DraftKings,CFBD,1.0,43.5,43.5,43.5,0.0,0.0,18.82693855,fcs,fcs
close_capture,2026-09-12T21:41:10.383687Z,2026.5,6896b9770568baf57f8d4375019ad98ddc2fe7b2f1a2dabc8374b28193757625,schedule,"15,45 14-23 * * 4,5,6,0,1",34720634862,1,667950475e320ca2fa9af86be0d9364641452828,False,2026,2,401867966,2026-09-12 22:00:00+00:00,Virginia Lynchburg,Morgan State,OTHER,,,,,,,,,,,18.82693855,fcs,
close_capture,2026-09-12T21:41:10.383687Z,2026.5,6896b9770568baf57f8d4375019ad98ddc2fe7b2f1a2dabc8374b28193757625,schedule,"15,45 14-23 * * 4,5,6,0,1",34720634862,1,667950475e320ca2fa9af86be0d9364641452828,False,2026,2,401867983,2026-09-12 22:00:00+00:00,Virginia State,South Carolina State,OTHER,,,,,,,,,,,18.82693855,fcs,ii
close_capture,2026-09-12T21:41:10.383687Z,2026.5,6896b9770568baf57f8d4375019ad98ddc2fe7b2f1a2dabc8374b28193757625,schedule,"15,45 14-23 * * 4,5,6,0,1",34720634862,1,667950475e320ca2fa9af86be0d9364641452828,False,2026,2,401868102,2026-09-12 22:00:00+00:00,San Diego,Idaho State,FCS,58.5,58.5,DraftKings,CFBD,1.0,58.5,58.5,58.5,0.0,0.0,18.82693855,fcs,fcs
close_capture,2026-09-12T21:41:10.383687Z,2026.5,6896b9770568baf57f8d4375019ad98ddc2fe7b2f1a2dabc8374b28193757625,schedule,"15,45 14-23 * * 4,5,6,0,1",34720634862,1,667950475e320ca2fa9af86be0d9364641452828,False,2026,2,401868141,2026-09-12 22:00:00+00:00,Chattanooga,Eastern Kentucky,FCS,48.5,48.5,DraftKings,CFBD,1.0,48.5,48.5,48.5,0.0,0.0,18.82693855,fcs,fcs
close_capture,2026-09-12T21:41:10.383687Z,2026.5,6896b9770568baf57f8d4375019ad98ddc2fe7b2f1a2dabc8374b28193757625,schedule,"15,45 14-23 * * 4,5,6,0,1",34720634862,1,667950475e320ca2fa9af86be0d9364641452828,False,2026,2,401868171,2026-09-12 22:00:00+00:00,Charleston Southern,The Citadel,FCS,45.5,45.5,DraftKings,CFBD,1.0,45.5,45.5,45.5,0.0,0.0,18.82693855,fcs,fcs
close_capture,2026-09-12T21:41:10.383687Z,2026.5,6896b9770568baf57f8d4375019ad98ddc2fe7b2f1a2dabc8374b28193757625,schedule,"15,45 14-23 * * 4,5,6,0,1",34720634862,1,667950475e320ca2fa9af86be0d9364641452828,False,2026,2,401868210,2026-09-12 22:00:00+00:00,Franklin,Butler,OTHER,,,,,,,,,,,18.82693855,fcs,iii
close_capture,2026-09-12T21:41:10.383687Z,2026.5,6896b9770568baf57f8d4375019ad98ddc2fe7b2f1a2dabc8374b28193757625,schedule,"15,45 14-23 * * 4,5,6,0,1",34720634862,1,667950475e320ca2fa9af86be0d9364641452828,False,2026,2,401868374,2026-09-12 22:00:00+00:00,Furman,Mercer,FCS,54.5,54.5,DraftKings,CFBD,1.0,54.5,54.5,54.5,0.0,0.0,18.82693855,fcs,fcs
close_capture,2026-09-12T21:41:10.383687Z,2026.5,6896b9770568baf57f8d4375019ad98ddc2fe7b2f1a2dabc8374b28193757625,schedule,"15,45 14-23 * * 4,5,6,0,1",34720634862,1,667950475e320ca2fa9af86be0d9364641452828,False,2026,2,401908217,2026-09-12 22:00:00+00:00,Madonna,Bluffton,OTHER,,,,,,,,,,,18.82693855,iii,
close_capture,2026-09-12T21:41:10.383687Z,2026.5,6896b9770568baf57f8d4375019ad98ddc2fe7b2f1a2dabc8374b28193757625,schedule,"15,45 14-23 * * 4,5,6,0,1",34720634862,1,667950475e320ca2fa9af86be0d9364641452828,False,2026,2,401866418,2026-09-12 22:00:00+00:00,Jacksonville State,Ohio,FBS,49.5,49.75,DraftKings,CFBD,2.0,49.5,50.0,49.75,0.5,-0.25,18.82693855,fbs,fbs
close_capture,2026-09-12T21:41:10.383687Z,2026.5,6896b9770568baf57f8d4375019ad98ddc2fe7b2f1a2dabc8374b28193757625,schedule,"15,45 14-23 * * 4,5,6,0,1",34720634862,1,667950475e320ca2fa9af86be0d9364641452828,False,2026,2,401860881,2026-09-12 22:00:00+00:00,Memphis,Boise State,FBS,54.5,54.5,DraftKings,CFBD,2.0,54.5,54.5,54.5,0.0,0.0,18.82693855,fbs,fbs
close_capture,2026-09-12T21:41:10.383687Z,2026.5,6896b9770568baf57f8d4375019ad98ddc2fe7b2f1a2dabc8374b28193757625,schedule,"15,45 14-23 * * 4,5,6,0,1",34720634862,1,667950475e320ca2fa9af86be0d9364641452828,False,2026,2,401906050,2026-09-12 22:00:00+00:00,Livingstone,Bluefield State,OTHER,,,,,,,,,,,18.82693855,ii,ii
close_capture,2026-09-12T21:41:10.383687Z,2026.5,6896b9770568baf57f8d4375019ad98ddc2fe7b2f1a2dabc8374b28193757625,schedule,"15,45 14-23 * * 4,5,6,0,1",34720634862,1,667950475e320ca2fa9af86be0d9364641452828,False,2026,2,401906911,2026-09-12 22:00:00+00:00,Albany State,Savannah State,OTHER,,,,,,,,,,,18.82693855,ii,ii
close_capture,2026-09-12T21:41:10.383687Z,2026.5,6896b9770568baf57f8d4375019ad98ddc2fe7b2f1a2dabc8374b28193757625,schedule,"15,45 14-23 * * 4,5,6,0,1",34720634862,1,667950475e320ca2fa9af86be0d9364641452828,False,2026,2,401907251,2026-09-12 22:00:00+00:00,Kentucky State,Clark Atlanta,OTHER,,,,,,,,,,,18.82693855,ii,ii
close_capture,2026-09-12T21:41:10.383687Z,2026.5,6896b9770568baf57f8d4375019ad98ddc2fe7b2f1a2dabc8374b28193757625,schedule,"15,45 14-23 * * 4,5,6,0,1",34720634862,1,667950475e320ca2fa9af86be0d9364641452828,False,2026,2,401907863,2026-09-12 22:00:00+00:00,Alfred,Ithaca,OTHER,,,,,,,,,,,18.82693855,iii,iii
close_capture,2026-09-12T21:41:10.383687Z,2026.5,6896b9770568baf57f8d4375019ad98ddc2fe7b2f1a2dabc8374b28193757625,schedule,"15,45 14-23 * * 4,5,6,0,1",34720634862,1,667950475e320ca2fa9af86be0d9364641452828,False,2026,2,401907853,2026-09-12 22:00:00+00:00,Hilbert,Alfred State,OTHER,,,,,,,,,,,18.82693855,iii,iii
close_capture,2026-09-12T21:41:10.383687Z,2026.5,6896b9770568baf57f8d4375019ad98ddc2fe7b2f1a2dabc8374b28193757625,schedule,"15,45 14-23 * * 4,5,6,0,1",34720634862,1,667950475e320ca2fa9af86be0d9364641452828,False,2026,2,401908112,2026-09-12 22:00:00+00:00,LaGrange,Berry,OTHER,,,,,,,,,,,18.82693855,iii,iii
close_capture,2026-09-12T21:41:10.383687Z,2026.5,6896b9770568baf57f8d4375019ad98ddc2fe7b2f1a2dabc8374b28193757625,schedule,"15,45 14-23 * * 4,5,6,0,1",34720634862,1,667950475e320ca2fa9af86be0d9364641452828,False,2026,2,401908050,2026-09-12 22:00:00+00:00,Averett,Southern Virginia,OTHER,,,,,,,,,,,18.82693855,iii,iii
