card_strategy,season,cards,graded,wins,losses,hit_rate,net_units,roi_per_card,max_drawdown_units
hgb_under_3p5_all_2leg_top1_nonoverlap,2016,13,13,3,10,0.23076923076923078,-2.066115702479338,-0.15893197711379525,-8.0
hgb_under_3p5_all_2leg_top1_nonoverlap,2017,14,14,4,10,0.2857142857142857,0.578512396694217,0.041322314049586924,-8.0
hgb_under_3p5_all_2leg_top1_nonoverlap,2018,14,14,6,8,0.42857142857142855,7.8677685950413245,0.5619834710743803,-6.0
hgb_under_3p5_all_2leg_top1_nonoverlap,2019,15,15,3,12,0.2,-4.066115702479337,-0.2710743801652891,-8.355371900826446
hgb_under_3p5_all_2leg_top1_nonoverlap,2020,14,14,4,10,0.2857142857142857,0.578512396694217,0.041322314049586924,-5.0
hgb_under_3p5_all_2leg_top1_nonoverlap,2021,14,14,2,12,0.14285714285714285,-6.7107438016528915,-0.4793388429752065,-9.0
hgb_under_3p5_all_2leg_top1_nonoverlap,2022,15,15,8,7,0.5333333333333333,14.157024793388434,0.9438016528925622,-4.0
hgb_under_3p5_all_2leg_top1_nonoverlap,2023,14,14,7,7,0.5,9.776859504132235,0.6983471074380168,-5.0
hgb_under_3p5_all_2leg_top1_nonoverlap,2024,13,13,5,8,0.38461538461538464,5.223140495867771,0.4017800381436747,-3.0
hgb_under_3p5_consensus_2leg_top1_nonoverlap,2017,14,14,4,10,0.2857142857142857,0.578512396694217,0.041322314049586924,-8.0
hgb_under_3p5_consensus_2leg_top1_nonoverlap,2018,14,14,7,7,0.5,11.512396694214878,0.822314049586777,-4.0
hgb_under_3p5_consensus_2leg_top1_nonoverlap,2019,15,15,3,12,0.2,-4.066115702479337,-0.2710743801652891,-8.355371900826446
hgb_under_3p5_consensus_2leg_top1_nonoverlap,2020,14,14,4,10,0.2857142857142857,0.578512396694217,0.041322314049586924,-5.0
hgb_under_3p5_consensus_2leg_top1_nonoverlap,2021,14,14,2,12,0.14285714285714285,-6.7107438016528915,-0.4793388429752065,-9.0
hgb_under_3p5_consensus_2leg_top1_nonoverlap,2022,14,14,8,6,0.5714285714285714,15.157024793388434,1.082644628099174,-3.0
hgb_under_3p5_consensus_2leg_top1_nonoverlap,2023,1,1,0,1,0.0,-1.0,-1.0,0.0
hgb_under_3p5_high_total_2leg_top1_nonoverlap,2016,13,13,4,9,0.3076923076923077,1.5785123966942165,0.12142403051493973,-5.0
hgb_under_3p5_high_total_2leg_top1_nonoverlap,2017,14,14,5,9,0.35714285714285715,4.223140495867771,0.30165289256198363,-4.355371900826446
hgb_under_3p5_high_total_2leg_top1_nonoverlap,2018,13,13,6,7,0.46153846153846156,8.867768595041326,0.6821360457724097,-6.0
hgb_under_3p5_high_total_2leg_top1_nonoverlap,2019,15,15,5,10,0.3333333333333333,3.223140495867771,0.2148760330578514,-5.355371900826445
hgb_under_3p5_high_total_2leg_top1_nonoverlap,2020,12,12,3,9,0.25,-1.0661157024793373,-0.08884297520661144,-4.0
hgb_under_3p5_high_total_2leg_top1_nonoverlap,2021,14,14,5,9,0.35714285714285715,4.223140495867771,0.30165289256198363,-6.0
hgb_under_3p5_high_total_2leg_top1_nonoverlap,2022,15,15,6,9,0.4,6.8677685950413245,0.45785123966942165,-4.0
hgb_under_3p5_high_total_2leg_top1_nonoverlap,2023,11,11,4,7,0.36363636363636365,3.578512396694217,0.32531930879038334,-5.0
hgb_under_3p5_high_total_2leg_top1_nonoverlap,2024,13,13,5,8,0.38461538461538464,5.223140495867771,0.4017800381436747,-3.0
hgb_under_3p5_high_total_2leg_top2_nonoverlap,2016,26,26,7,19,0.2692307692307692,-0.4876033057851199,-0.018753973299427688,-9.355371900826446
hgb_under_3p5_high_total_2leg_top2_nonoverlap,2017,26,26,9,17,0.34615384615384615,6.8016528925619895,0.2616020343293073,-8.0
hgb_under_3p5_high_total_2leg_top2_nonoverlap,2018,26,26,8,18,0.3076923076923077,3.157024793388434,0.12142403051493976,-8.355371900826446
hgb_under_3p5_high_total_2leg_top2_nonoverlap,2019,23,23,8,15,0.34782608695652173,6.157024793388434,0.2676967301473232,-5.355371900826446
hgb_under_3p5_high_total_2leg_top2_nonoverlap,2020,19,19,5,14,0.2631578947368421,-0.7768595041322293,-0.04088734232274891,-5.0
hgb_under_3p5_high_total_2leg_top2_nonoverlap,2021,28,28,13,15,0.4642857142857143,19.380165289256208,0.6921487603305788,-4.710743801652889
hgb_under_3p5_high_total_2leg_top2_nonoverlap,2022,28,28,10,18,0.35714285714285715,8.446280991735543,0.3016528925619837,-6.0
hgb_under_3p5_high_total_2leg_top2_nonoverlap,2023,16,16,6,10,0.375,5.867768595041325,0.36673553719008284,-6.0
hgb_under_3p5_high_total_2leg_top2_nonoverlap,2024,19,19,8,11,0.42105263157894735,10.157024793388434,0.5345802522836017,-4.0
hgb_under_3p5_high_total_3leg_top1_nonoverlap,2016,13,13,1,12,0.07692307692307693,-6.0420736288504875,-0.4647748945269606,-8.0
hgb_under_3p5_high_total_3leg_top1_nonoverlap,2017,13,13,1,12,0.07692307692307693,-6.0420736288504875,-0.4647748945269606,-8.0
