card_strategy,base_strategy,legs,max_combos_per_week,no_overlap,season,week,weekly_rank,game_ids,matchups,results,result,units,avg_abs_pred_edge,min_abs_pred_edge,avg_market_residual
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2016,1,1,400869090|400869507,Hawai'i at California | Oklahoma at Houston,loss|win,loss,-1.0,4.886472079544501,4.704696529060801,3.25
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2016,2,1,400869430|400869511,Troy at Clemson | Cincinnati at Purdue,win|loss,loss,-1.0,9.627557982110755,8.558090690991504,-3.75
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2016,3,1,400869109|400868995,Arizona State at UTSA | New Mexico State at Kentucky,loss|loss,loss,-1.0,8.56845436482103,7.740946043312929,20.25
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2016,4,1,400869450|400869203,Syracuse at UConn | Nevada at Purdue,win|win,win,2.6446280991735542,9.116862947637228,7.982487438176324,-12.25
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2016,5,1,400869126|400869453,Arizona State at USC | Louisville at Clemson,win|loss,loss,-1.0,8.12765136166571,7.587294521387339,5.75
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2016,6,1,400869217|400869134,Hawai'i at San José State | California at Oregon State,win|loss,loss,-1.0,7.069470880369306,6.95922501315306,4.75
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2016,7,1,400869541|400869462,Tulsa at Houston | NC State at Clemson,loss|win,loss,-1.0,6.604934948471632,4.653693149960715,-9.0
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2016,8,1,400869225|400869544,Hawai'i at Air Force | East Carolina at Cincinnati,loss|win,loss,-1.0,12.147327681458282,11.244438382157382,-5.0
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2016,9,1,400869145|400869391,California at USC | Middle Tennessee at Florida International,win|loss,loss,-1.0,7.2016430554167465,6.519493782860732,5.25
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2016,10,1,400869477|400869479,Syracuse at Clemson | Florida State at NC State,win|win,win,2.6446280991735542,9.163092118472157,8.80676467950402,-14.5
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2016,11,1,400869485|400869692,Pittsburgh at Clemson | Northwestern at Purdue,loss|loss,loss,-1.0,7.480840426328573,7.344235773224422,14.0
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2016,12,1,400869623|400869332,Oklahoma State at TCU | Ball State at Toledo,win|win,win,2.6446280991735542,10.291447136705033,8.346077629700837,-22.0
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2016,13,1,400869169|400869252,UCLA at California | Boise State at Air Force,win|win,win,2.6446280991735542,8.300689772636359,7.640836055644723,-20.5
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2017,1,1,400933829|400941789,Georgia Southern at Auburn | UL Monroe at Memphis,win|loss,loss,-1.0,8.921358656667817,8.078854370504585,-3.25
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2017,2,1,400938601|400941798,North Texas at SMU | Louisiana at Tulsa,loss|loss,loss,-1.0,6.545564475423505,6.112845774057524,35.25
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2017,3,1,400934511|400944837,Texas at USC | Troy at New Mexico State,win|win,win,2.6446280991735542,9.208887786167546,7.876360114437367,-13.0
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2017,4,1,400938619|400934518,UTEP at New Mexico State | Texas Tech at Houston,win|win,win,2.6446280991735542,8.131186401934201,6.727301645350376,-10.5
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2017,5,1,400938623|400935288,Middle Tennessee at Florida Atlantic | Washington at Oregon State,win|win,win,2.6446280991735542,8.3964678811957,8.194379931991115,-6.25
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2017,6,1,400944991|400941817,Eastern Michigan at Toledo | Temple at East Carolina,win|win,win,2.6446280991735542,8.860412385254481,7.521739781997527,-20.0
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2017,7,1,400934526|400941821,Baylor at Oklahoma State | UConn at Temple,loss|win,loss,-1.0,5.6266523894207365,3.898042160596797,0.5
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2017,8,1,400934578|400941827,USC at Notre Dame | Tulsa at UConn,loss|win,loss,-1.0,8.227609400028575,8.176453927074464,-20.75
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2017,9,1,400933901|400935394,Missouri at UConn | Penn State at Ohio State,win|loss,loss,-1.0,9.37970891043442,8.741134644995343,4.0
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2017,10,1,400933909|400941835,Florida at Missouri | Memphis at Tulsa,win|win,win,2.6446280991735542,8.571641428929208,7.087058547325792,-13.25
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2017,11,1,400933915|400941842,Louisiana at Ole Miss | UConn at UCF,loss|loss,loss,-1.0,6.249724208050575,5.0403807473297,6.75
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2017,12,1,400935415|400941845,Nebraska at Penn State | Cincinnati at East Carolina,loss|loss,loss,-1.0,8.935576202947653,8.905117074610933,20.75
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2017,13,1,400933931|400944881,Missouri at Arkansas | Georgia Southern at Louisiana,loss|loss,loss,-1.0,10.522206812070625,10.337035924397863,13.0
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2017,14,1,400944884|400955151,Louisiana at App State | Memphis at UCF,loss|loss,loss,-1.0,4.807045191496897,4.721571572964284,27.0
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2018,1,1,401012679|401079833,Cincinnati at UCLA | North Carolina A&T at East Carolina,win|win,win,2.6446280991735542,5.779363528242609,5.622325150964062,-16.25
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2018,2,1,401012732|401012726,Southern Utah at Oregon State | Arizona at Houston,loss|win,loss,-1.0,11.788878873757152,10.201284116152753,-2.75
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2018,3,1,401022521|401012277,Prairie View A&M at UNLV | Alabama at Ole Miss,win|win,win,2.6446280991735542,11.248780389836076,10.806487259530236,-3.25
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2018,4,1,401012750|401022524,Arizona at Oregon State | Duquesne at Hawai'i,win|win,win,2.6446280991735542,16.522757577177288,15.795278851346596,-17.25
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2018,5,1,401012757|401019496,Oregon at California | Memphis at Tulane,loss|win,loss,-1.0,8.046781781614637,6.773608322224683,2.75
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2018,6,1,401022530|401020751,New Mexico at UNLV | Bowling Green at Toledo,loss|loss,loss,-1.0,7.111397173454563,6.191462850431766,8.75
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2018,7,1,401012308|401020760,Ole Miss at Arkansas | Western Michigan at Bowling Green,loss|loss,loss,-1.0,9.18062043956418,8.394007588883538,6.25
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2018,8,1,401019511|401019512,UConn at South Florida | Houston at Navy,push|loss,loss,-1.0,7.890447173742295,7.497397817861,13.0
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2018,9,1,401021681|401013189,Arkansas State at Louisiana | Notre Dame at Navy,loss|loss,loss,-1.0,7.339225892702011,6.593541446895656,15.0
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,1,True,2018,10,1,401019520|401012328,Memphis at East Carolina | South Carolina at Ole Miss,loss|loss,loss,-1.0,11.047836970086191,10.52632031888351,28.25
