card_strategy,base_strategy,legs,season,week,weekly_rank,game_id,matchup,side,result,straight_units,abs_pred_edge,market_residual,total_bin,line_provider
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2016,1,1,400869090,Hawai'i at California,under,loss,-1.0,5.0682476300282016,16.0,63+,teamrankings
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2016,1,1,400869507,Oklahoma at Houston,under,win,0.9090909090909091,4.704696529060801,-9.5,63+,teamrankings
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2016,2,1,400869430,Troy at Clemson,under,win,0.9090909090909091,10.697025273230008,-8.0,56-63,teamrankings
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2016,2,1,400869511,Cincinnati at Purdue,under,loss,-1.0,8.558090690991504,0.5,56-63,teamrankings
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2016,3,1,400869109,Arizona State at UTSA,under,loss,-1.0,9.395962686329131,2.0,56-63,teamrankings
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2016,3,1,400868995,New Mexico State at Kentucky,under,loss,-1.0,7.740946043312929,38.5,63+,teamrankings
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2016,4,1,400869450,Syracuse at UConn,under,win,0.9090909090909091,10.251238457098134,-3.0,56-63,teamrankings
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2016,4,1,400869203,Nevada at Purdue,under,win,0.9090909090909091,7.453197807697516,-21.5,56-63,teamrankings
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2016,5,1,400869126,Arizona State at USC,under,win,0.9090909090909091,8.668008201944081,-2.5,63+,teamrankings
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2016,5,1,400869453,Louisville at Clemson,under,loss,-1.0,7.587294521387339,14.0,63+,teamrankings
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2016,6,1,400869217,Hawai'i at San José State,under,win,0.9090909090909091,7.179716747585553,-11.5,56-63,teamrankings
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2016,6,1,400869134,California at Oregon State,under,loss,-1.0,6.95922501315306,21.0,63+,teamrankings
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2016,7,1,400869541,Tulsa at Houston,under,loss,-1.0,8.55617674698255,1.0,63+,teamrankings
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2016,7,1,400869462,NC State at Clemson,under,win,0.9090909090909091,4.653693149960715,-19.0,56-63,teamrankings
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2016,8,1,400869225,Hawai'i at Air Force,under,loss,-1.0,13.050216980759185,3.0,56-63,teamrankings
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2016,8,1,400869544,East Carolina at Cincinnati,under,win,0.9090909090909091,11.244438382157382,-13.0,56-63,teamrankings
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2016,9,1,400869145,California at USC,under,win,0.9090909090909091,7.8837923279727615,-4.0,63+,teamrankings
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2016,9,1,400869391,Middle Tennessee at Florida International,under,loss,-1.0,6.519493782860732,14.5,56-63,teamrankings
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2016,10,1,400869477,Syracuse at Clemson,under,win,0.9090909090909091,9.519419557440296,-15.0,63+,teamrankings
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2016,10,1,400869479,Florida State at NC State,under,win,0.9090909090909091,8.80676467950402,-14.0,56-63,teamrankings
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2016,11,1,400869485,Pittsburgh at Clemson,under,loss,-1.0,7.6174450794327235,24.0,56-63,teamrankings
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2016,11,1,400869692,Northwestern at Purdue,under,loss,-1.0,7.344235773224422,4.0,56-63,teamrankings
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2016,12,1,400869623,Oklahoma State at TCU,under,win,0.9090909090909091,12.23681664370923,-31.5,63+,teamrankings
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2016,12,1,400869332,Ball State at Toledo,under,win,0.9090909090909091,8.346077629700837,-12.5,63+,teamrankings
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2016,13,1,400869169,UCLA at California,under,win,0.9090909090909091,8.960543489627995,-24.5,63+,teamrankings
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2016,13,1,400869252,Boise State at Air Force,under,win,0.9090909090909091,7.640836055644723,-16.5,63+,teamrankings
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2017,1,1,400933829,Georgia Southern at Auburn,under,win,0.9090909090909091,9.763862942831048,-11.0,56-63,consensus
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2017,1,1,400941789,UL Monroe at Memphis,under,loss,-1.0,8.078854370504585,4.5,56-63,consensus
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2017,2,1,400938601,North Texas at SMU,under,loss,-1.0,6.9782831767894855,21.5,63+,consensus
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2017,2,1,400941798,Louisiana at Tulsa,under,loss,-1.0,6.112845774057524,49.0,56-63,consensus
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2017,3,1,400934511,Texas at USC,under,win,0.9090909090909091,10.541415457897726,-16.5,63+,consensus
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2017,3,1,400944837,Troy at New Mexico State,under,win,0.9090909090909091,7.876360114437367,-9.5,56-63,consensus
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2017,4,1,400938619,UTEP at New Mexico State,under,win,0.9090909090909091,9.535071158518027,-4.0,56-63,consensus
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2017,4,1,400934518,Texas Tech at Houston,under,win,0.9090909090909091,6.727301645350376,-17.0,63+,consensus
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2017,5,1,400938623,Middle Tennessee at Florida Atlantic,under,win,0.9090909090909091,8.598555830400288,-2.0,56-63,consensus
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2017,5,1,400935288,Washington at Oregon State,under,win,0.9090909090909091,8.194379931991115,-10.5,56-63,consensus
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2017,6,1,400944991,Eastern Michigan at Toledo,under,win,0.9090909090909091,10.199084988511435,-25.0,56-63,consensus
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2017,6,1,400941817,Temple at East Carolina,under,win,0.9090909090909091,7.521739781997527,-15.0,56-63,consensus
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2017,7,1,400934526,Baylor at Oklahoma State,under,loss,-1.0,7.355262618244676,6.5,63+,consensus
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2017,7,1,400941821,UConn at Temple,under,win,0.9090909090909091,3.898042160596797,-5.5,56-63,consensus
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2017,8,1,400934578,USC at Notre Dame,under,loss,-1.0,8.278764872982686,1.5,56-63,consensus
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2017,8,1,400941827,Tulsa at UConn,under,win,0.9090909090909091,8.176453927074464,-43.0,63+,consensus
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2017,9,1,400933901,Missouri at UConn,under,win,0.9090909090909091,10.0182831758735,-11.5,63+,consensus
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2017,9,1,400935394,Penn State at Ohio State,under,loss,-1.0,8.741134644995343,19.5,56-63,consensus
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2017,10,1,400933909,Florida at Missouri,under,win,0.9090909090909091,10.056224310532626,-0.5,56-63,consensus
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2017,10,1,400941835,Memphis at Tulsa,under,win,0.9090909090909091,7.087058547325792,-26.0,63+,consensus
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2017,11,1,400933915,Louisiana at Ole Miss,under,loss,-1.0,7.459067668771448,4.5,63+,consensus
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2017,11,1,400941842,UConn at UCF,under,loss,-1.0,5.0403807473297,9.0,63+,consensus
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2017,12,1,400935415,Nebraska at Penn State,under,loss,-1.0,8.966035331284372,41.0,56-63,consensus
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2017,12,1,400941845,Cincinnati at East Carolina,under,loss,-1.0,8.905117074610933,0.5,63+,consensus
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2017,13,1,400933931,Missouri at Arkansas,under,loss,-1.0,10.707377699743388,24.5,63+,consensus
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2017,13,1,400944881,Georgia Southern at Louisiana,under,loss,-1.0,10.337035924397863,1.5,56-63,consensus
hgb_under_3p5_high_total_2leg_top1_nonoverlap,hgb_under_3p5_high_total,2,2017,14,1,400944884,Louisiana at App State,under,loss,-1.0,4.89251881002951,19.0,56-63,consensus
